cell,corners,centroid,auxin,area,meristematic,pericycle,centroid_y,distance,tick
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",340.195,9,True,True,84.5,9.5,7
95,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",250.754,9,True,True,94.5,2.3333333333333286,7
143,"[[54, 110], [54, 114], [57, 114], [57, 110]]","[55.5, 112.0]",215.001,12,True,True,112.0,2.666666666666657,7
175,"[[54, 122], [54, 126], [57, 126], [57, 122]]","[55.5, 124.0]",198.981,12,True,True,124.0,2.5,7
223,"[[54, 140], [54, 144], [57, 144], [57, 140]]","[55.5, 142.0]",161.471,12,True,True,142.0,1.6666666666666856,7
270,"[[54, 157], [54, 160], [57, 160], [57, 157]]","[55.5, 158.5]",145.727,9,True,True,158.5,2.333333333333343,7
317,"[[54, 172], [54, 175], [57, 175], [57, 172]]","[55.5, 173.5]",129.873,9,True,True,173.5,4.5,7
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",354.807,9,True,True,84.5,9.5,8
95,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",260.109,9,True,True,94.5,2.3333333333333286,8
125,"[[54, 104], [54, 110], [57, 110], [57, 104]]","[55.5, 107.0]",212.494,18,True,True,107.0,2.333333333333343,8
173,"[[54, 126], [54, 131], [57, 131], [57, 126]]","[55.5, 128.5]",202.786,15,True,True,128.5,2.0,8
205,"[[54, 140], [54, 145], [57, 145], [57, 140]]","[55.5, 142.5]",170.396,15,True,True,142.5,1.1666666666666856,8
253,"[[54, 159], [54, 163], [57, 163], [57, 159]]","[55.5, 161.0]",147.165,12,True,True,161.0,0.1666666666666572,8
285,"[[54, 171], [54, 175], [57, 175], [57, 171]]","[55.5, 173.0]",135.116,12,True,True,173.0,5.0,8
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",368.993,9,True,True,84.5,9.5,9
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",282.853,9,True,True,89.5,2.6666666666666714,9
125,"[[54, 106], [54, 113], [57, 113], [57, 106]]","[55.5, 109.5]",227.903,21,True,True,109.5,0.1666666666666572,9
157,"[[54, 124], [54, 130], [57, 130], [57, 124]]","[55.5, 127.0]",227.585,18,True,True,127.0,0.5,9
