tick,cell_id,cx,cy,y_min,y_max,auxin
1,101,85.5,85.54972222222221,83.03977777777777,88.05966666666667,398.189
1,109,56.5,90.56961111111112,88.05966666666667,93.07955555555556,229.096
1,116,85.5,90.56961111111112,88.05966666666667,93.07955555555556,229.096
1,124,56.5,95.5895,93.07955555555556,98.09944444444444,60.309
1,131,85.5,95.5895,93.07955555555556,98.09944444444444,60.309
1,140,56.5,100.60938888888889,98.09944444444444,103.11933333333333,60.223
1,147,85.5,100.60938888888889,98.09944444444444,103.11933333333333,60.223
1,155,56.5,105.62927777777779,103.11933333333333,108.13922222222223,60.2382
1,162,85.5,105.62927777777779,103.11933333333333,108.13922222222223,60.2382
1,170,56.5,110.64916666666667,108.13922222222223,113.15911111111112,60.223
1,177,85.5,110.64916666666667,108.13922222222223,113.15911111111112,60.223
1,185,56.5,115.66905555555556,113.15911111111112,118.179,60.2382
1,192,85.5,115.66905555555556,113.15911111111112,118.179,60.2382
1,199,56.5,120.68894444444445,118.179,123.19888888888889,60.223
1,206,85.5,120.68894444444445,118.179,123.19888888888889,60.223
1,214,56.5,125.70883333333333,123.19888888888889,128.21877777777777,60.2382
1,221,85.5,125.70883333333333,123.19888888888889,128.21877777777777,60.2382
1,229,56.5,130.72872222222222,128.21877777777777,133.23866666666666,60.223
1,236,85.5,130.72872222222222,128.21877777777777,133.23866666666666,60.223
1,243,56.5,135.7486111111111,133.23866666666666,138.25855555555555,60.2382
1,250,85.5,135.7486111111111,133.23866666666666,138.25855555555555,60.2382
1,257,56.5,140.7685,138.25855555555555,143.27844444444443,60.223
1,264,85.5,140.7685,138.25855555555555,143.27844444444443,60.223
1,271,56.5,145.7883888888889,143.27844444444443,148.29833333333335,60.2382
1,278,85.5,145.7883888888889,143.27844444444443,148.29833333333335,60.2382
1,285,56.5,150.8082777777778,148.29833333333335,153.31822222222223,60.223
1,292,85.5,150.8082777777778,148.29833333333335,153.31822222222223,60.223
1,300,56.5,155.82816666666668,153.31822222222223,158.33811111111112,60.2382
1,307,85.5,155.82816666666668,153.31822222222223,158.33811111111112,60.2382
1,315,56.5,160.84805555555556,158.33811111111112,163.358,60.2382
1,322,85.5,160.84805555555556,158.33811111111112,163.358,60.2382
1,329,56.5,165.86794444444445,163.358,168.3778888888889,60.2382
1,336,85.5,165.86794444444445,163.358,168.3778888888889,60.2382
1,343,56.5,170.88783333333333,168.3778888888889,173.39777777777778,60.2382
1,350,85.5,170.88783333333333,168.3778888888889,173.39777777777778,60.2382
1,357,56.5,175.90772222222222,173.39777777777778,178.41766666666666,60.2382
1,364,85.5,175.90772222222222,173.39777777777778,178.41766666666666,60.2382
1,371,56.5,180.9276111111111,178.41766666666666,183.43755555555555,60.2382
1,378,85.5,180.9276111111111,178.41766666666666,183.43755555555555,60.2382
1,385,56.5,185.9475,183.43755555555555,188.45744444444443,60.2382
1,392,85.5,185.9475,183.43755555555555,188.45744444444443,60.2382
1,399,56.5,190.96738888888888,188.45744444444443,193.47733333333332,60.2382
1,406,85.5,190.96738888888888,188.45744444444443,193.47733333333332,60.2382
1,413,56.5,195.98727777777776,193.47733333333332,198.49722222222223,60.2382
1,420,85.5,195.98727777777776,193.47733333333332,198.49722222222223,60.2382
1,427,56.5,201.00716666666668,198.49722222222223,203.51711111111112,60.2382
1,434,85.5,201.00716666666668,198.49722222222223,203.51711111111112,60.2382
1,441,56.5,206.02705555555556,203.51711111111112,208.537,60.2382
1,448,85.5,206.02705555555556,203.51711111111112,208.537,60.2382
1,455,56.5,211.04694444444445,208.537,213.5568888888889,60.2382
1,462,85.5,211.04694444444445,208.537,213.5568888888889,60.2382
1,469,56.5,216.06683333333334,213.5568888888889,218.57677777777778,60.2382
1,476,85.5,216.06683333333334,213.5568888888889,218.57677777777778,60.2382
1,483,56.5,221.08672222222222,218.57677777777778,223.59666666666666,60.2382
1,490,85.5,221.08672222222222,218.57677777777778,223.59666666666666,60.2382
1,497,56.5,226.1066111111111,223.59666666666666,228.61655555555555,60.2382
1,504,85.5,226.1066111111111,223.59666666666666,228.61655555555555,60.2382
1,511,56.5,231.1265,228.61655555555555,233.63644444444444,60.2382
1,518,85.5,231.1265,228.61655555555555,233.63644444444444,60.2382
1,525,56.5,236.14638888888888,233.63644444444444,238.65633333333332,60.2086
1,532,85.5,236.14638888888888,233.63644444444444,238.65633333333332,60.2086
1,539,56.5,241.16627777777776,238.65633333333332,243.6762222222222,40.3111
1,546,85.5,241.16627777777776,238.65633333333332,243.6762222222222,40.3111
1,553,56.5,246.18616666666665,243.6762222222222,248.6961111111111,20.4574
1,560,85.5,246.18616666666665,243.6762222222222,248.6961111111111,20.4574
1,567,56.5,251.20605555555554,248.6961111111111,253.71599999999998,20.4437
1,574,85.5,251.20605555555554,248.6961111111111,253.71599999999998,20.4437
1,581,56.5,256.2259444444444,253.71599999999998,258.73588888888884,20.4491
1,588,85.5,256.2259444444444,253.71599999999998,258.73588888888884,20.4491
1,595,56.5,261.2458333333333,258.73588888888884,263.7557777777777,20.4437
1,602,85.5,261.2458333333333,258.73588888888884,263.7557777777777,20.4437
1,609,56.5,266.26572222222217,263.7557777777777,268.7756666666666,20.4491
1,616,85.5,266.26572222222217,263.7557777777777,268.7756666666666,20.4491
1,623,56.5,271.28561111111105,268.7756666666666,273.79555555555555,20.4375
1,630,85.5,271.28561111111105,268.7756666666666,273.79555555555555,20.4375
1,637,56.5,280.3214111111111,273.79555555555555,286.84726666666666,20.4487
1,644,85.5,280.3214111111111,273.79555555555555,286.84726666666666,20.4487
1,651,56.5,293.8751111111111,286.84726666666666,300.90295555555554,20.4521
1,658,85.5,293.8751111111111,286.84726666666666,300.90295555555554,20.4521
1,665,56.5,308.93477777777775,300.90295555555554,316.96659999999997,20.4521
1,672,85.5,308.93477777777775,300.90295555555554,316.96659999999997,20.4521
1,679,56.5,326.50438888888885,316.96659999999997,336.04217777777774,20.4525
1,686,85.5,326.50438888888885,316.96659999999997,336.04217777777774,20.4525
1,693,56.5,347.5879222222222,336.04217777777774,359.1336666666666,20.453
1,700,85.5,347.5879222222222,336.04217777777774,359.1336666666666,20.453
1,707,56.5,373.1893555555555,359.1336666666666,387.24504444444443,20.4535
1,714,85.5,373.1893555555555,359.1336666666666,387.24504444444443,20.4535
1,721,56.5,404.31266666666664,387.24504444444443,421.38028888888886,20.4541
1,728,85.5,404.31266666666664,387.24504444444443,421.38028888888886,20.4541
1,735,56.5,441.88539111111106,421.38028888888886,462.3904933333333,20.4518
1,742,85.5,441.88539111111106,421.38028888888886,462.3904933333333,20.4518
1,749,56.5,489.8973377777778,462.3904933333333,517.4041822222223,11.4678
1,756,85.5,489.8973377777778,462.3904933333333,517.4041822222223,11.4678
1,763,56.5,544.9110266666667,517.4041822222223,572.4178711111111,1.05228
1,770,85.5,544.9110266666667,517.4041822222223,572.4178711111111,1.05228
1,777,56.5,599.9247155555556,572.4178711111111,627.43156,1.05156
1,784,85.5,599.9247155555556,572.4178711111111,627.43156,1.05156
1,791,56.5,654.9384044444445,627.43156,682.445248888889,1.05156
1,798,85.5,654.9384044444445,627.43156,682.445248888889,1.05156
1,805,56.5,709.9520933333333,682.445248888889,737.4589377777778,1.05151
1,812,85.5,709.9520933333333,682.445248888889,737.4589377777778,1.05151
1,819,56.5,953.4589377777777,737.4589377777778,1169.4589377777777,1.05154
1,826,85.5,953.4589377777777,737.4589377777778,1169.4589377777777,1.05154
2,64,56.5,75.51992844567901,74.0,78.03985689135803,397.321
2,71,85.5,75.51992844567901,74.0,78.03985689135803,397.321
2,79,56.5,80.55978533703704,78.03985689135803,83.07971378271606,396.738
2,86,85.5,80.55978533703704,78.03985689135803,83.07971378271606,396.738
2,94,56.5,85.59964222839507,83.07971378271606,88.11957067407408,396.175
2,101,85.5,85.59964222839507,83.07971378271606,88.11957067407408,396.175
2,109,56.5,90.6394991197531,88.11957067407408,93.15942756543211,228.344
2,116,85.5,90.6394991197531,88.11957067407408,93.15942756543211,228.344
