cell_id,cell_type,cx,cy,auxin,corners
54,roottip,64.25,70.50000000000006,651.861,"[[67, 68.0], [64, 68.0], [59, 73.0], [67, 73.0]]"
55,roottip,69.0,70.50000000000006,1144.42,"[[71, 68.0], [67, 68.0], [67, 73.0], [71, 73.0]]"
56,roottip,73.0,70.50000000000006,1144.42,"[[75, 68.0], [71, 68.0], [71, 73.0], [75, 73.0]]"
57,roottip,77.75,70.50000000000006,651.861,"[[78, 68.0], [75, 68.0], [75, 73.0], [83, 73.0]]"
58,roottip,83.5,70.75000000000004,560.897,"[[85, 69.0], [78, 68.0], [83, 73.0], [88, 73.0]]"
59,roottip,98.75,71.25000000000006,470.364,"[[100, 68.0], [94, 71.0], [95, 73.0], [106, 73.0]]"
60,roottip,23.5,78.00000000000009,490.388,"[[26, 73.0], [21, 73.0], [21, 83.0], [26, 83.0]]"
75,roottip,118.5,78.00000000000009,490.388,"[[121, 73.0], [116, 73.0], [116, 83.0], [121, 83.0]]"
90,roottip,23.5,88.00000000000014,420.833,"[[26, 83.0], [21, 83.0], [21, 93.0], [26, 93.0]]"
105,roottip,118.5,88.00000000000014,420.833,"[[121, 83.0], [116, 83.0], [116, 93.0], [121, 93.0]]"
120,roottip,23.5,95.50000000000017,578.031,"[[26, 93.0], [21, 93.0], [21, 98.0], [26, 98.0]]"
135,roottip,118.5,95.50000000000017,578.031,"[[121, 93.0], [116, 93.0], [116, 98.0], [121, 98.0]]"
136,roottip,23.5,103.00000000000014,365.388,"[[26, 98.0], [21, 98.0], [21, 108.0], [26, 108.0]]"
151,roottip,118.5,103.00000000000014,365.388,"[[121, 98.0], [116, 98.0], [116, 108.0], [121, 108.0]]"
166,roottip,23.5,115.50000000000009,248.298,"[[26, 108.0], [21, 108.0], [21, 123.0], [26, 123.0]]"
181,roottip,118.5,115.50000000000009,248.298,"[[121, 108.0], [116, 108.0], [116, 123.0], [121, 123.0]]"
210,roottip,23.5,138.00000000000003,111.708,"[[26, 123.0], [21, 123.0], [21, 153.0], [26, 153.0]]"
225,roottip,118.5,138.00000000000003,111.708,"[[121, 123.0], [116, 123.0], [116, 153.0], [121, 153.0]]"
296,roottip,23.5,213.00000000000006,12.1175,"[[26, 153.0], [21, 153.0], [21, 273.0], [26, 273.0]]"
311,roottip,118.5,213.00000000000006,12.1175,"[[121, 153.0], [116, 153.0], [116, 273.0], [121, 273.0]]"
410,epidermis,31.0,394.4344557980544,150.269,"[[36, 387.87], [26, 387.87], [26, 400.99], [36, 400.99]]"
411,cortex,41.5,394.4344557980544,98.1515,"[[47, 387.87], [36, 387.87], [36, 400.99], [47, 400.99]]"
412,endo,50.5,394.4344557980544,89.0781,"[[54, 387.87], [47, 387.87], [47, 400.99], [54, 400.99]]"
413,peri,56.5,394.4344557980544,84.9666,"[[59, 387.87], [54, 387.87], [54, 400.99], [59, 400.99]]"
414,vasc,61.0,394.4344557980544,81.5899,"[[63, 387.87], [59, 387.87], [59, 400.99], [63, 400.99]]"
415,vasc,65.0,394.4344557980544,74.5661,"[[67, 387.87], [63, 387.87], [63, 400.99], [67, 400.99]]"
416,vasc,69.0,394.4344557980544,71.4872,"[[71, 387.87], [67, 387.87], [67, 400.99], [71, 400.99]]"
417,vasc,73.0,394.4344557980544,71.4872,"[[75, 387.87], [71, 387.87], [71, 400.99], [75, 400.99]]"
