cell,corners,centroid,auxin
60,"[[21, 83], [21, 90], [24, 90], [24, 83]]","[22.5, 86.5]",863.088
61,"[[26, 83], [26, 89], [34, 89], [34, 83]]","[30.0, 86.0]",170.014
62,"[[36, 83], [36, 89], [45, 89], [45, 83]]","[40.5, 86.0]",145.34
63,"[[47, 83], [47, 89], [52, 89], [52, 83]]","[49.5, 86.0]",80.8357
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",407.232
65,"[[59, 83], [59, 89], [61, 89], [61, 83]]","[60.0, 86.0]",378.231
66,"[[63, 83], [63, 89], [65, 89], [65, 83]]","[64.0, 86.0]",302.792
67,"[[67, 83], [67, 89], [69, 89], [69, 83]]","[68.0, 86.0]",297.208
68,"[[71, 83], [71, 89], [73, 89], [73, 83]]","[72.0, 86.0]",297.208
69,"[[75, 83], [75, 89], [77, 89], [77, 83]]","[76.0, 86.0]",302.792
70,"[[79, 83], [79, 89], [81, 89], [81, 83]]","[80.0, 86.0]",378.231
71,"[[83, 83], [83, 89], [86, 89], [86, 83]]","[84.5, 86.0]",407.232
72,"[[88, 83], [88, 89], [93, 89], [93, 83]]","[90.5, 86.0]",80.8357
73,"[[95, 83], [95, 89], [104, 89], [104, 83]]","[99.5, 86.0]",145.34
74,"[[106, 83], [106, 89], [114, 89], [114, 83]]","[110.0, 86.0]",170.014
75,"[[116, 83], [116, 90], [119, 90], [119, 83]]","[117.5, 86.5]",863.088
76,"[[26, 91], [26, 97], [34, 97], [34, 91]]","[30.0, 94.0]",175.362
77,"[[36, 91], [36, 97], [45, 97], [45, 91]]","[40.5, 94.0]",141.61
78,"[[47, 91], [47, 97], [52, 97], [52, 91]]","[49.5, 94.0]",59.9944
79,"[[54, 91], [54, 97], [57, 97], [57, 91]]","[55.5, 94.0]",328.18
80,"[[59, 91], [59, 97], [61, 97], [61, 91]]","[60.0, 94.0]",307.061
81,"[[63, 91], [63, 97], [65, 97], [65, 91]]","[64.0, 94.0]",252.926
82,"[[67, 91], [67, 97], [69, 97], [69, 91]]","[68.0, 94.0]",228.893
83,"[[71, 91], [71, 97], [73, 97], [73, 91]]","[72.0, 94.0]",228.893
84,"[[75, 91], [75, 97], [77, 97], [77, 91]]","[76.0, 94.0]",252.926
85,"[[79, 91], [79, 97], [81, 97], [81, 91]]","[80.0, 94.0]",307.061
86,"[[83, 91], [83, 97], [86, 97], [86, 91]]","[84.5, 94.0]",328.18
87,"[[88, 91], [88, 97], [93, 97], [93, 91]]","[90.5, 94.0]",59.9944
88,"[[95, 91], [95, 97], [104, 97], [104, 91]]","[99.5, 94.0]",141.61
89,"[[106, 91], [106, 97], [114, 97], [114, 91]]","[110.0, 94.0]",175.362
90,"[[21, 92], [21, 99], [24, 99], [24, 92]]","[22.5, 95.5]",791.903
91,"[[116, 92], [116, 99], [119, 99], [119, 92]]","[117.5, 95.5]",791.903
92,"[[26, 99], [26, 102], [34, 102], [34, 99]]","[30.0, 100.5]",182.706
93,"[[36, 99], [36, 102], [45, 102], [45, 99]]","[40.5, 100.5]",131.389
94,"[[47, 99], [47, 102], [52, 102], [52, 99]]","[49.5, 100.5]",62.1676
95,"[[54, 99], [54, 102], [57, 102], [57, 99]]","[55.5, 100.5]",279.277
96,"[[59, 99], [59, 102], [61, 102], [61, 99]]","[60.0, 100.5]",251.541
97,"[[63, 99], [63, 102], [65, 102], [65, 99]]","[64.0, 100.5]",214.105
98,"[[67, 99], [67, 102], [69, 102], [69, 99]]","[68.0, 100.5]",195.683
99,"[[71, 99], [71, 102], [73, 102], [73, 99]]","[72.0, 100.5]",195.683
100,"[[75, 99], [75, 102], [77, 102], [77, 99]]","[76.0, 100.5]",214.105
101,"[[79, 99], [79, 102], [81, 102], [81, 99]]","[80.0, 100.5]",251.541
102,"[[83, 99], [83, 102], [86, 102], [86, 99]]","[84.5, 100.5]",279.277
103,"[[88, 99], [88, 102], [93, 102], [93, 99]]","[90.5, 100.5]",62.1676
104,"[[95, 99], [95, 102], [104, 102], [104, 99]]","[99.5, 100.5]",131.389
105,"[[106, 99], [106, 102], [114, 102], [114, 99]]","[110.0, 100.5]",182.706
106,"[[21, 101], [21, 108], [24, 108], [24, 101]]","[22.5, 104.5]",733.076
107,"[[116, 101], [116, 108], [119, 108], [119, 101]]","[117.5, 104.5]",733.076
108,"[[26, 104], [26, 107], [34, 107], [34, 104]]","[30.0, 105.5]",183.363
109,"[[36, 104], [36, 107], [45, 107], [45, 104]]","[40.5, 105.5]",133.26
110,"[[47, 104], [47, 107], [52, 107], [52, 104]]","[49.5, 105.5]",65.115
111,"[[54, 104], [54, 107], [57, 107], [57, 104]]","[55.5, 105.5]",243.734
112,"[[59, 104], [59, 107], [61, 107], [61, 104]]","[60.0, 105.5]",220.365
113,"[[63, 104], [63, 107], [65, 107], [65, 104]]","[64.0, 105.5]",188.644
114,"[[67, 104], [67, 107], [69, 107], [69, 104]]","[68.0, 105.5]",172.801
115,"[[71, 104], [71, 107], [73, 107], [73, 104]]","[72.0, 105.5]",172.801
116,"[[75, 104], [75, 107], [77, 107], [77, 104]]","[76.0, 105.5]",188.644
117,"[[79, 104], [79, 107], [81, 107], [81, 104]]","[80.0, 105.5]",220.365
118,"[[83, 104], [83, 107], [86, 107], [86, 104]]","[84.5, 105.5]",243.734
119,"[[88, 104], [88, 107], [93, 107], [93, 104]]","[90.5, 105.5]",65.115
120,"[[95, 104], [95, 107], [104, 107], [104, 104]]","[99.5, 105.5]",133.26
121,"[[106, 104], [106, 107], [114, 107], [114, 104]]","[110.0, 105.5]",183.363
122,"[[26, 109], [26, 112], [34, 112], [34, 109]]","[30.0, 110.5]",177.293
123,"[[36, 109], [36, 112], [45, 112], [45, 109]]","[40.5, 110.5]",130.886
124,"[[47, 109], [47, 112], [52, 112], [52, 109]]","[49.5, 110.5]",66.3263
125,"[[54, 109], [54, 112], [57, 112], [57, 109]]","[55.5, 110.5]",247.052
126,"[[59, 109], [59, 112], [61, 112], [61, 109]]","[60.0, 110.5]",224.593
127,"[[63, 109], [63, 112], [65, 112], [65, 109]]","[64.0, 110.5]",191.558
