cell,corners,centroid,auxin
60,"[[21, 83], [21, 90], [24, 90], [24, 83]]","[22.5, 86.5]",646.537
61,"[[26, 83], [26, 90], [34, 90], [34, 83]]","[30.0, 86.5]",135.974
62,"[[36, 83], [36, 90], [45, 90], [45, 83]]","[40.5, 86.5]",118.674
63,"[[47, 83], [47, 90], [52, 90], [52, 83]]","[49.5, 86.5]",66.8622
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",290.5
65,"[[59, 83], [59, 90], [61, 90], [61, 83]]","[60.0, 86.5]",269.129
66,"[[63, 83], [63, 90], [65, 90], [65, 83]]","[64.0, 86.5]",208.967
67,"[[67, 83], [67, 90], [69, 90], [69, 83]]","[68.0, 86.5]",202.452
68,"[[71, 83], [71, 90], [73, 90], [73, 83]]","[72.0, 86.5]",202.452
69,"[[75, 83], [75, 90], [77, 90], [77, 83]]","[76.0, 86.5]",208.967
70,"[[79, 83], [79, 90], [81, 90], [81, 83]]","[80.0, 86.5]",269.129
71,"[[83, 83], [83, 90], [86, 90], [86, 83]]","[84.5, 86.5]",290.5
72,"[[88, 83], [88, 90], [93, 90], [93, 83]]","[90.5, 86.5]",66.8622
73,"[[95, 83], [95, 90], [104, 90], [104, 83]]","[99.5, 86.5]",118.674
74,"[[106, 83], [106, 90], [114, 90], [114, 83]]","[110.0, 86.5]",135.974
75,"[[116, 83], [116, 90], [119, 90], [119, 83]]","[117.5, 86.5]",646.537
76,"[[21, 92], [21, 99], [24, 99], [24, 92]]","[22.5, 95.5]",567.038
77,"[[26, 92], [26, 99], [34, 99], [34, 92]]","[30.0, 95.5]",153.622
78,"[[36, 92], [36, 99], [45, 99], [45, 92]]","[40.5, 95.5]",115.675
79,"[[47, 92], [47, 99], [52, 99], [52, 92]]","[49.5, 95.5]",50.3566
80,"[[54, 92], [54, 99], [57, 99], [57, 92]]","[55.5, 95.5]",228.259
81,"[[59, 92], [59, 99], [61, 99], [61, 92]]","[60.0, 95.5]",217.031
82,"[[63, 92], [63, 99], [65, 99], [65, 92]]","[64.0, 95.5]",171.86
83,"[[67, 92], [67, 99], [69, 99], [69, 92]]","[68.0, 95.5]",150.226
84,"[[71, 92], [71, 99], [73, 99], [73, 92]]","[72.0, 95.5]",150.226
85,"[[75, 92], [75, 99], [77, 99], [77, 92]]","[76.0, 95.5]",171.86
86,"[[79, 92], [79, 99], [81, 99], [81, 92]]","[80.0, 95.5]",217.031
87,"[[83, 92], [83, 99], [86, 99], [86, 92]]","[84.5, 95.5]",228.259
88,"[[88, 92], [88, 99], [93, 99], [93, 92]]","[90.5, 95.5]",50.3566
89,"[[95, 92], [95, 99], [104, 99], [104, 92]]","[99.5, 95.5]",115.675
90,"[[106, 92], [106, 99], [114, 99], [114, 92]]","[110.0, 95.5]",153.622
91,"[[116, 92], [116, 99], [119, 99], [119, 92]]","[117.5, 95.5]",567.038
92,"[[21, 101], [21, 107], [24, 107], [24, 101]]","[22.5, 104.0]",523.308
93,"[[26, 101], [26, 107], [34, 107], [34, 101]]","[30.0, 104.0]",155.799
94,"[[36, 101], [36, 107], [45, 107], [45, 101]]","[40.5, 104.0]",113.82
95,"[[47, 101], [47, 107], [52, 107], [52, 101]]","[49.5, 104.0]",50.7669
96,"[[54, 101], [54, 107], [57, 107], [57, 101]]","[55.5, 104.0]",195.14
97,"[[59, 101], [59, 107], [61, 107], [61, 101]]","[60.0, 104.0]",184.03
98,"[[63, 101], [63, 107], [65, 107], [65, 101]]","[64.0, 104.0]",147.883
99,"[[67, 101], [67, 107], [69, 107], [69, 101]]","[68.0, 104.0]",130.31
100,"[[71, 101], [71, 107], [73, 107], [73, 101]]","[72.0, 104.0]",130.31
101,"[[75, 101], [75, 107], [77, 107], [77, 101]]","[76.0, 104.0]",147.883
102,"[[79, 101], [79, 107], [81, 107], [81, 101]]","[80.0, 104.0]",184.03
103,"[[83, 101], [83, 107], [86, 107], [86, 101]]","[84.5, 104.0]",195.14
104,"[[88, 101], [88, 107], [93, 107], [93, 101]]","[90.5, 104.0]",50.7669
105,"[[95, 101], [95, 107], [104, 107], [104, 101]]","[99.5, 104.0]",113.82
106,"[[106, 101], [106, 107], [114, 107], [114, 101]]","[110.0, 104.0]",155.799
107,"[[116, 101], [116, 107], [119, 107], [119, 101]]","[117.5, 104.0]",523.308
108,"[[21, 109], [21, 115], [24, 115], [24, 109]]","[22.5, 112.0]",491.037
109,"[[26, 109], [26, 115], [34, 115], [34, 109]]","[30.0, 112.0]",152.774
110,"[[36, 109], [36, 115], [45, 115], [45, 109]]","[40.5, 112.0]",111.118
111,"[[47, 109], [47, 115], [52, 115], [52, 109]]","[49.5, 112.0]",50.135
112,"[[54, 109], [54, 115], [57, 115], [57, 109]]","[55.5, 112.0]",193.391
113,"[[59, 109], [59, 115], [61, 115], [61, 109]]","[60.0, 112.0]",182.233
114,"[[63, 109], [63, 115], [65, 115], [65, 109]]","[64.0, 112.0]",145.855
115,"[[67, 109], [67, 115], [69, 115], [69, 109]]","[68.0, 112.0]",128.388
116,"[[71, 109], [71, 115], [73, 115], [73, 109]]","[72.0, 112.0]",128.388
117,"[[75, 109], [75, 115], [77, 115], [77, 109]]","[76.0, 112.0]",145.855
118,"[[79, 109], [79, 115], [81, 115], [81, 109]]","[80.0, 112.0]",182.233
119,"[[83, 109], [83, 115], [86, 115], [86, 109]]","[84.5, 112.0]",193.391
120,"[[88, 109], [88, 115], [93, 115], [93, 109]]","[90.5, 112.0]",50.135
121,"[[95, 109], [95, 115], [104, 115], [104, 109]]","[99.5, 112.0]",111.118
122,"[[106, 109], [106, 115], [114, 115], [114, 109]]","[110.0, 112.0]",152.774
123,"[[116, 109], [116, 115], [119, 115], [119, 109]]","[117.5, 112.0]",491.037
124,"[[21, 117], [21, 123], [24, 123], [24, 117]]","[22.5, 120.0]",464.174
125,"[[26, 117], [26, 123], [34, 123], [34, 117]]","[30.0, 120.0]",147.469
126,"[[36, 117], [36, 123], [45, 123], [45, 117]]","[40.5, 120.0]",107.885
127,"[[47, 117], [47, 123], [52, 123], [52, 117]]","[49.5, 120.0]",48.836
128,"[[54, 117], [54, 123], [57, 123], [57, 117]]","[55.5, 120.0]",184.481
129,"[[59, 117], [59, 123], [61, 123], [61, 117]]","[60.0, 120.0]",173.149
130,"[[63, 117], [63, 123], [65, 123], [65, 117]]","[64.0, 120.0]",138.955
131,"[[67, 117], [67, 123], [69, 123], [69, 117]]","[68.0, 120.0]",122.839
132,"[[71, 117], [71, 123], [73, 123], [73, 117]]","[72.0, 120.0]",122.839
133,"[[75, 117], [75, 123], [77, 123], [77, 117]]","[76.0, 120.0]",138.955
134,"[[79, 117], [79, 123], [81, 123], [81, 117]]","[80.0, 120.0]",173.149
135,"[[83, 117], [83, 123], [86, 123], [86, 117]]","[84.5, 120.0]",184.481
136,"[[88, 117], [88, 123], [93, 123], [93, 117]]","[90.5, 120.0]",48.836
137,"[[95, 117], [95, 123], [104, 123], [104, 117]]","[99.5, 120.0]",107.885
138,"[[106, 117], [106, 123], [114, 123], [114, 117]]","[110.0, 120.0]",147.469
139,"[[116, 117], [116, 123], [119, 123], [119, 117]]","[117.5, 120.0]",464.174
140,"[[21, 125], [21, 131], [24, 131], [24, 125]]","[22.5, 128.0]",437.938
141,"[[26, 125], [26, 131], [34, 131], [34, 125]]","[30.0, 128.0]",141.336
142,"[[36, 125], [36, 131], [45, 131], [45, 125]]","[40.5, 128.0]",104.739
143,"[[47, 125], [47, 131], [52, 131], [52, 125]]","[49.5, 128.0]",47.9649
144,"[[54, 125], [54, 131], [57, 131], [57, 125]]","[55.5, 128.0]",173.125
145,"[[59, 125], [59, 131], [61, 131], [61, 125]]","[60.0, 128.0]",161.652
146,"[[63, 125], [63, 131], [65, 131], [65, 125]]","[64.0, 128.0]",130.272
147,"[[67, 125], [67, 131], [69, 131], [69, 125]]","[68.0, 128.0]",115.73
148,"[[71, 125], [71, 131], [73, 131], [73, 125]]","[72.0, 128.0]",115.73
149,"[[75, 125], [75, 131], [77, 131], [77, 125]]","[76.0, 128.0]",130.272
150,"[[79, 125], [79, 131], [81, 131], [81, 125]]","[80.0, 128.0]",161.652
151,"[[83, 125], [83, 131], [86, 131], [86, 125]]","[84.5, 128.0]",173.125
152,"[[88, 125], [88, 131], [93, 131], [93, 125]]","[90.5, 128.0]",47.9649
153,"[[95, 125], [95, 131], [104, 131], [104, 125]]","[99.5, 128.0]",104.739
154,"[[106, 125], [106, 131], [114, 131], [114, 125]]","[110.0, 128.0]",141.336
155,"[[116, 125], [116, 131], [119, 131], [119, 125]]","[117.5, 128.0]",437.938
156,"[[21, 133], [21, 139], [24, 139], [24, 133]]","[22.5, 136.0]",390.969
157,"[[26, 133], [26, 139], [34, 139], [34, 133]]","[30.0, 136.0]",145.573
158,"[[36, 133], [36, 139], [45, 139], [45, 133]]","[40.5, 136.0]",101.742
159,"[[47, 133], [47, 139], [52, 139], [52, 133]]","[49.5, 136.0]",48.6656
160,"[[54, 133], [54, 139], [57, 139], [57, 133]]","[55.5, 136.0]",141.386
161,"[[59, 133], [59, 139], [61, 139], [61, 133]]","[60.0, 136.0]",133.707
162,"[[63, 133], [63, 139], [65, 139], [65, 133]]","[64.0, 136.0]",109.526
163,"[[67, 133], [67, 139], [69, 139], [69, 133]]","[68.0, 136.0]",98.2627
164,"[[71, 133], [71, 139], [73, 139], [73, 133]]","[72.0, 136.0]",98.2627
165,"[[75, 133], [75, 139], [77, 139], [77, 133]]","[76.0, 136.0]",109.526
166,"[[79, 133], [79, 139], [81, 139], [81, 133]]","[80.0, 136.0]",133.707
167,"[[83, 133], [83, 139], [86, 139], [86, 133]]","[84.5, 136.0]",141.386
