cell,corners,centroid,auxin
60,"[[21, 83], [21, 90], [24, 90], [24, 83]]","[22.5, 86.5]",878.765
61,"[[26, 83], [26, 86], [34, 86], [34, 83]]","[30.0, 84.5]",157.932
62,"[[36, 83], [36, 86], [45, 86], [45, 83]]","[40.5, 84.5]",139.202
63,"[[47, 83], [47, 86], [52, 86], [52, 83]]","[49.5, 84.5]",90.8982
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",418.069
65,"[[59, 83], [59, 86], [61, 86], [61, 83]]","[60.0, 84.5]",371.979
66,"[[63, 83], [63, 86], [65, 86], [65, 83]]","[64.0, 84.5]",306.767
67,"[[67, 83], [67, 86], [69, 86], [69, 83]]","[68.0, 84.5]",307.645
68,"[[71, 83], [71, 86], [73, 86], [73, 83]]","[72.0, 84.5]",307.645
69,"[[75, 83], [75, 86], [77, 86], [77, 83]]","[76.0, 84.5]",306.767
70,"[[79, 83], [79, 86], [81, 86], [81, 83]]","[80.0, 84.5]",371.979
71,"[[83, 83], [83, 86], [86, 86], [86, 83]]","[84.5, 84.5]",418.069
72,"[[88, 83], [88, 86], [93, 86], [93, 83]]","[90.5, 84.5]",90.8982
73,"[[95, 83], [95, 86], [104, 86], [104, 83]]","[99.5, 84.5]",139.202
74,"[[106, 83], [106, 86], [114, 86], [114, 83]]","[110.0, 84.5]",157.932
75,"[[116, 83], [116, 90], [119, 90], [119, 83]]","[117.5, 86.5]",878.765
76,"[[26, 88], [26, 91], [34, 91], [34, 88]]","[30.0, 89.5]",182.388
77,"[[36, 88], [36, 91], [45, 91], [45, 88]]","[40.5, 89.5]",136.017
78,"[[47, 88], [47, 91], [52, 91], [52, 88]]","[49.5, 89.5]",63.1212
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",320.231
80,"[[59, 88], [59, 91], [61, 91], [61, 88]]","[60.0, 89.5]",291.154
81,"[[63, 88], [63, 91], [65, 91], [65, 88]]","[64.0, 89.5]",246.139
