cell,corners,centroid,auxin
60,"[[21, 83], [21, 89], [24, 89], [24, 83]]","[22.5, 86.0]",891.628
61,"[[26, 83], [26, 90], [34, 90], [34, 83]]","[30.0, 86.5]",183.633
62,"[[36, 83], [36, 90], [45, 90], [45, 83]]","[40.5, 86.5]",155.86
63,"[[47, 83], [47, 90], [52, 90], [52, 83]]","[49.5, 86.5]",83.124
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",434.619
65,"[[59, 83], [59, 90], [61, 90], [61, 83]]","[60.0, 86.5]",402.775
66,"[[63, 83], [63, 90], [65, 90], [65, 83]]","[64.0, 86.5]",320.932
67,"[[67, 83], [67, 90], [69, 90], [69, 83]]","[68.0, 86.5]",314.255
68,"[[71, 83], [71, 90], [73, 90], [73, 83]]","[72.0, 86.5]",314.255
69,"[[75, 83], [75, 90], [77, 90], [77, 83]]","[76.0, 86.5]",320.932
70,"[[79, 83], [79, 90], [81, 90], [81, 83]]","[80.0, 86.5]",402.775
71,"[[83, 83], [83, 90], [86, 90], [86, 83]]","[84.5, 86.5]",434.619
72,"[[88, 83], [88, 90], [93, 90], [93, 83]]","[90.5, 86.5]",83.124
73,"[[95, 83], [95, 90], [104, 90], [104, 83]]","[99.5, 86.5]",155.86
74,"[[106, 83], [106, 90], [114, 90], [114, 83]]","[110.0, 86.5]",183.633
75,"[[116, 83], [116, 89], [119, 89], [119, 83]]","[117.5, 86.0]",891.628
76,"[[21, 91], [21, 97], [24, 97], [24, 91]]","[22.5, 94.0]",788.806
77,"[[116, 91], [116, 97], [119, 97], [119, 91]]","[117.5, 94.0]",788.806
78,"[[26, 92], [26, 95], [34, 95], [34, 92]]","[30.0, 93.5]",178.697
79,"[[36, 92], [36, 95], [45, 95], [45, 92]]","[40.5, 93.5]",136.827
80,"[[47, 92], [47, 95], [52, 95], [52, 92]]","[49.5, 93.5]",63.615
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",311.347
82,"[[59, 92], [59, 95], [61, 95], [61, 92]]","[60.0, 93.5]",281.572
83,"[[63, 92], [63, 95], [65, 95], [65, 92]]","[64.0, 93.5]",237.626
84,"[[67, 92], [67, 95], [69, 95], [69, 92]]","[68.0, 93.5]",215.585
85,"[[71, 92], [71, 95], [73, 95], [73, 92]]","[72.0, 93.5]",215.585
86,"[[75, 92], [75, 95], [77, 95], [77, 92]]","[76.0, 93.5]",237.626
87,"[[79, 92], [79, 95], [81, 95], [81, 92]]","[80.0, 93.5]",281.572
88,"[[83, 92], [83, 95], [86, 95], [86, 92]]","[84.5, 93.5]",311.347
89,"[[88, 92], [88, 95], [93, 95], [93, 92]]","[90.5, 93.5]",63.615
90,"[[95, 92], [95, 95], [104, 95], [104, 92]]","[99.5, 93.5]",136.827
91,"[[106, 92], [106, 95], [114, 95], [114, 92]]","[110.0, 93.5]",178.697
92,"[[26, 97], [26, 100], [34, 100], [34, 97]]","[30.0, 98.5]",194.261
93,"[[36, 97], [36, 100], [45, 100], [45, 97]]","[40.5, 98.5]",139.675
94,"[[47, 97], [47, 100], [52, 100], [52, 97]]","[49.5, 98.5]",62.9386
95,"[[54, 97], [54, 100], [57, 100], [57, 97]]","[55.5, 98.5]",298.166
96,"[[59, 97], [59, 100], [61, 100], [61, 97]]","[60.0, 98.5]",268.792
97,"[[63, 97], [63, 100], [65, 100], [65, 97]]","[64.0, 98.5]",226.574
98,"[[67, 97], [67, 100], [69, 100], [69, 97]]","[68.0, 98.5]",205.547
99,"[[71, 97], [71, 100], [73, 100], [73, 97]]","[72.0, 98.5]",205.547
100,"[[75, 97], [75, 100], [77, 100], [77, 97]]","[76.0, 98.5]",226.574
101,"[[79, 97], [79, 100], [81, 100], [81, 97]]","[80.0, 98.5]",268.792
102,"[[83, 97], [83, 100], [86, 100], [86, 97]]","[84.5, 98.5]",298.166
103,"[[88, 97], [88, 100], [93, 100], [93, 97]]","[90.5, 98.5]",62.9386
104,"[[95, 97], [95, 100], [104, 100], [104, 97]]","[99.5, 98.5]",139.675
105,"[[106, 97], [106, 100], [114, 100], [114, 97]]","[110.0, 98.5]",194.261
106,"[[21, 99], [21, 105], [24, 105], [24, 99]]","[22.5, 102.0]",740.489
107,"[[116, 99], [116, 105], [119, 105], [119, 99]]","[117.5, 102.0]",740.489
108,"[[26, 102], [26, 106], [34, 106], [34, 102]]","[30.0, 104.0]",201.457
109,"[[36, 102], [36, 106], [45, 106], [45, 102]]","[40.5, 104.0]",143.351
110,"[[47, 102], [47, 106], [52, 106], [52, 102]]","[49.5, 104.0]",62.7476
111,"[[54, 102], [54, 106], [57, 106], [57, 102]]","[55.5, 104.0]",284.891
112,"[[59, 102], [59, 106], [61, 106], [61, 102]]","[60.0, 104.0]",257.824
113,"[[63, 102], [63, 106], [65, 106], [65, 102]]","[64.0, 104.0]",215.231
114,"[[67, 102], [67, 106], [69, 106], [69, 102]]","[68.0, 104.0]",195.133
115,"[[71, 102], [71, 106], [73, 106], [73, 102]]","[72.0, 104.0]",195.133
116,"[[75, 102], [75, 106], [77, 106], [77, 102]]","[76.0, 104.0]",215.231
117,"[[79, 102], [79, 106], [81, 106], [81, 102]]","[80.0, 104.0]",257.824
118,"[[83, 102], [83, 106], [86, 106], [86, 102]]","[84.5, 104.0]",284.891
119,"[[88, 102], [88, 106], [93, 106], [93, 102]]","[90.5, 104.0]",62.7476
120,"[[95, 102], [95, 106], [104, 106], [104, 102]]","[99.5, 104.0]",143.351
121,"[[106, 102], [106, 106], [114, 106], [114, 102]]","[110.0, 104.0]",201.457
122,"[[21, 107], [21, 113], [24, 113], [24, 107]]","[22.5, 110.0]",705.02
123,"[[116, 107], [116, 113], [119, 113], [119, 107]]","[117.5, 110.0]",705.02
124,"[[26, 108], [26, 113], [34, 113], [34, 108]]","[30.0, 110.5]",201.19
125,"[[36, 108], [36, 113], [45, 113], [45, 108]]","[40.5, 110.5]",144.003
126,"[[47, 108], [47, 113], [52, 113], [52, 108]]","[49.5, 110.5]",64.9527
127,"[[54, 108], [54, 113], [57, 113], [57, 108]]","[55.5, 110.5]",245.893
128,"[[59, 108], [59, 113], [61, 113], [61, 108]]","[60.0, 110.5]",224.434
129,"[[63, 108], [63, 113], [65, 113], [65, 108]]","[64.0, 110.5]",187.573
130,"[[67, 108], [67, 113], [69, 113], [69, 108]]","[68.0, 110.5]",170.762
131,"[[71, 108], [71, 113], [73, 113], [73, 108]]","[72.0, 110.5]",170.762
132,"[[75, 108], [75, 113], [77, 113], [77, 108]]","[76.0, 110.5]",187.573
133,"[[79, 108], [79, 113], [81, 113], [81, 108]]","[80.0, 110.5]",224.434
134,"[[83, 108], [83, 113], [86, 113], [86, 108]]","[84.5, 110.5]",245.893
135,"[[88, 108], [88, 113], [93, 113], [93, 108]]","[90.5, 110.5]",64.9527
136,"[[95, 108], [95, 113], [104, 113], [104, 108]]","[99.5, 110.5]",144.003
137,"[[106, 108], [106, 113], [114, 113], [114, 108]]","[110.0, 110.5]",201.19
138,"[[21, 115], [21, 121], [24, 121], [24, 115]]","[22.5, 118.0]",655.148
139,"[[26, 115], [26, 118], [34, 118], [34, 115]]","[30.0, 116.5]",175.107
140,"[[36, 115], [36, 118], [45, 118], [45, 115]]","[40.5, 116.5]",131.253
141,"[[47, 115], [47, 118], [52, 118], [52, 115]]","[49.5, 116.5]",66.8795
142,"[[54, 115], [54, 118], [57, 118], [57, 115]]","[55.5, 116.5]",235.904
143,"[[59, 115], [59, 118], [61, 118], [61, 115]]","[60.0, 116.5]",215.156
144,"[[63, 115], [63, 118], [65, 118], [65, 115]]","[64.0, 116.5]",184.426
145,"[[67, 115], [67, 118], [69, 118], [69, 115]]","[68.0, 116.5]",169.003
146,"[[71, 115], [71, 118], [73, 118], [73, 115]]","[72.0, 116.5]",169.003
147,"[[75, 115], [75, 118], [77, 118], [77, 115]]","[76.0, 116.5]",184.426
148,"[[79, 115], [79, 118], [81, 118], [81, 115]]","[80.0, 116.5]",215.156
149,"[[83, 115], [83, 118], [86, 118], [86, 115]]","[84.5, 116.5]",235.904
150,"[[88, 115], [88, 118], [93, 118], [93, 115]]","[90.5, 116.5]",66.8795
151,"[[95, 115], [95, 118], [104, 118], [104, 115]]","[99.5, 116.5]",131.253
152,"[[106, 115], [106, 118], [114, 118], [114, 115]]","[110.0, 116.5]",175.107
153,"[[116, 115], [116, 121], [119, 121], [119, 115]]","[117.5, 118.0]",655.148
154,"[[26, 120], [26, 123], [34, 123], [34, 120]]","[30.0, 121.5]",179.563
155,"[[36, 120], [36, 123], [45, 123], [45, 120]]","[40.5, 121.5]",130.755
156,"[[47, 120], [47, 123], [52, 123], [52, 120]]","[49.5, 121.5]",66.9302
157,"[[54, 120], [54, 123], [57, 123], [57, 120]]","[55.5, 121.5]",236.549
158,"[[59, 120], [59, 123], [61, 123], [61, 120]]","[60.0, 121.5]",215.983
159,"[[63, 120], [63, 123], [65, 123], [65, 120]]","[64.0, 121.5]",185.288
160,"[[67, 120], [67, 123], [69, 123], [69, 120]]","[68.0, 121.5]",169.726
161,"[[71, 120], [71, 123], [73, 123], [73, 120]]","[72.0, 121.5]",169.726
162,"[[75, 120], [75, 123], [77, 123], [77, 120]]","[76.0, 121.5]",185.288
163,"[[79, 120], [79, 123], [81, 123], [81, 120]]","[80.0, 121.5]",215.983
164,"[[83, 120], [83, 123], [86, 123], [86, 120]]","[84.5, 121.5]",236.549
165,"[[88, 120], [88, 123], [93, 123], [93, 120]]","[90.5, 121.5]",66.9302
166,"[[95, 120], [95, 123], [104, 123], [104, 120]]","[99.5, 121.5]",130.755
167,"[[106, 120], [106, 123], [114, 123], [114, 120]]","[110.0, 121.5]",179.563
168,"[[21, 123], [21, 129], [24, 129], [24, 123]]","[22.5, 126.0]",617.012
169,"[[116, 123], [116, 129], [119, 129], [119, 123]]","[117.5, 126.0]",617.012
170,"[[26, 125], [26, 128], [34, 128], [34, 125]]","[30.0, 126.5]",172.191
171,"[[36, 125], [36, 128], [45, 128], [45, 125]]","[40.5, 126.5]",129.248
172,"[[47, 125], [47, 128], [52, 128], [52, 125]]","[49.5, 126.5]",65.3177
173,"[[54, 125], [54, 128], [57, 128], [57, 125]]","[55.5, 126.5]",226.988
174,"[[59, 125], [59, 128], [61, 128], [61, 125]]","[60.0, 126.5]",208.097
175,"[[63, 125], [63, 128], [65, 128], [65, 125]]","[64.0, 126.5]",178.399
176,"[[67, 125], [67, 128], [69, 128], [69, 125]]","[68.0, 126.5]",163.231
177,"[[71, 125], [71, 128], [73, 128], [73, 125]]","[72.0, 126.5]",163.231
178,"[[75, 125], [75, 128], [77, 128], [77, 125]]","[76.0, 126.5]",178.399
179,"[[79, 125], [79, 128], [81, 128], [81, 125]]","[80.0, 126.5]",208.097
