cell,corners,centroid,auxin
60,"[[21, 83], [21, 86], [24, 86], [24, 83]]","[22.5, 84.5]",844.833
61,"[[26, 83], [26, 89], [34, 89], [34, 83]]","[30.0, 86.0]",171.228
62,"[[36, 83], [36, 89], [45, 89], [45, 83]]","[40.5, 86.0]",143.348
63,"[[47, 83], [47, 89], [52, 89], [52, 83]]","[49.5, 86.0]",78.6438
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",408.441
65,"[[59, 83], [59, 89], [61, 89], [61, 83]]","[60.0, 86.0]",382.341
66,"[[63, 83], [63, 89], [65, 89], [65, 83]]","[64.0, 86.0]",305.971
67,"[[67, 83], [67, 89], [69, 89], [69, 83]]","[68.0, 86.0]",299.911
68,"[[71, 83], [71, 89], [73, 89], [73, 83]]","[72.0, 86.0]",299.911
69,"[[75, 83], [75, 89], [77, 89], [77, 83]]","[76.0, 86.0]",305.971
70,"[[79, 83], [79, 89], [81, 89], [81, 83]]","[80.0, 86.0]",382.341
71,"[[83, 83], [83, 89], [86, 89], [86, 83]]","[84.5, 86.0]",408.441
72,"[[88, 83], [88, 89], [93, 89], [93, 83]]","[90.5, 86.0]",78.6438
73,"[[95, 83], [95, 89], [104, 89], [104, 83]]","[99.5, 86.0]",143.348
74,"[[106, 83], [106, 89], [114, 89], [114, 83]]","[110.0, 86.0]",171.228
75,"[[116, 83], [116, 86], [119, 86], [119, 83]]","[117.5, 84.5]",844.833
76,"[[21, 88], [21, 91], [24, 91], [24, 88]]","[22.5, 89.5]",813.212
77,"[[116, 88], [116, 91], [119, 91], [119, 88]]","[117.5, 89.5]",813.212
78,"[[26, 91], [26, 98], [34, 98], [34, 91]]","[30.0, 94.5]",174.881
79,"[[36, 91], [36, 98], [45, 98], [45, 91]]","[40.5, 94.5]",140.254
80,"[[47, 91], [47, 98], [52, 98], [52, 91]]","[49.5, 94.5]",57.9851
81,"[[54, 91], [54, 98], [57, 98], [57, 91]]","[55.5, 94.5]",319.338
82,"[[59, 91], [59, 98], [61, 98], [61, 91]]","[60.0, 94.5]",302.925
83,"[[63, 91], [63, 98], [65, 98], [65, 91]]","[64.0, 94.5]",247.766
84,"[[67, 91], [67, 98], [69, 98], [69, 91]]","[68.0, 94.5]",223.754
85,"[[71, 91], [71, 98], [73, 98], [73, 91]]","[72.0, 94.5]",223.754
86,"[[75, 91], [75, 98], [77, 98], [77, 91]]","[76.0, 94.5]",247.766
87,"[[79, 91], [79, 98], [81, 98], [81, 91]]","[80.0, 94.5]",302.925
88,"[[83, 91], [83, 98], [86, 98], [86, 91]]","[84.5, 94.5]",319.338
89,"[[88, 91], [88, 98], [93, 98], [93, 91]]","[90.5, 94.5]",57.9851
90,"[[95, 91], [95, 98], [104, 98], [104, 91]]","[99.5, 94.5]",140.254
91,"[[106, 91], [106, 98], [114, 98], [114, 91]]","[110.0, 94.5]",174.881
92,"[[21, 93], [21, 96], [24, 96], [24, 93]]","[22.5, 94.5]",798.908
93,"[[116, 93], [116, 96], [119, 96], [119, 93]]","[117.5, 94.5]",798.908
94,"[[21, 98], [21, 101], [24, 101], [24, 98]]","[22.5, 99.5]",761.879
95,"[[116, 98], [116, 101], [119, 101], [119, 98]]","[117.5, 99.5]",761.879
96,"[[26, 100], [26, 103], [34, 103], [34, 100]]","[30.0, 101.5]",172.973
97,"[[36, 100], [36, 103], [45, 103], [45, 100]]","[40.5, 101.5]",128.841
98,"[[47, 100], [47, 103], [52, 103], [52, 100]]","[49.5, 101.5]",60.4363
99,"[[54, 100], [54, 103], [57, 103], [57, 100]]","[55.5, 101.5]",283.479
100,"[[59, 100], [59, 103], [61, 103], [61, 100]]","[60.0, 101.5]",256.417
101,"[[63, 100], [63, 103], [65, 103], [65, 100]]","[64.0, 101.5]",218.12
102,"[[67, 100], [67, 103], [69, 103], [69, 100]]","[68.0, 101.5]",198.856
103,"[[71, 100], [71, 103], [73, 103], [73, 100]]","[72.0, 101.5]",198.856
104,"[[75, 100], [75, 103], [77, 103], [77, 100]]","[76.0, 101.5]",218.12
105,"[[79, 100], [79, 103], [81, 103], [81, 100]]","[80.0, 101.5]",256.417
106,"[[83, 100], [83, 103], [86, 103], [86, 100]]","[84.5, 101.5]",283.479
107,"[[88, 100], [88, 103], [93, 103], [93, 100]]","[90.5, 101.5]",60.4363
108,"[[95, 100], [95, 103], [104, 103], [104, 100]]","[99.5, 101.5]",128.841
109,"[[106, 100], [106, 103], [114, 103], [114, 100]]","[110.0, 101.5]",172.973
110,"[[21, 103], [21, 106], [24, 106], [24, 103]]","[22.5, 104.5]",722.836
111,"[[116, 103], [116, 106], [119, 106], [119, 103]]","[117.5, 104.5]",722.836
112,"[[26, 105], [26, 108], [34, 108], [34, 105]]","[30.0, 106.5]",176.757
113,"[[36, 105], [36, 108], [45, 108], [45, 105]]","[40.5, 106.5]",130.982
114,"[[47, 105], [47, 108], [52, 108], [52, 105]]","[49.5, 106.5]",62.6837
115,"[[54, 105], [54, 108], [57, 108], [57, 105]]","[55.5, 106.5]",240.147
116,"[[59, 105], [59, 108], [61, 108], [61, 105]]","[60.0, 106.5]",218.348
117,"[[63, 105], [63, 108], [65, 108], [65, 105]]","[64.0, 106.5]",186.034
118,"[[67, 105], [67, 108], [69, 108], [69, 105]]","[68.0, 106.5]",169.586
119,"[[71, 105], [71, 108], [73, 108], [73, 105]]","[72.0, 106.5]",169.586
120,"[[75, 105], [75, 108], [77, 108], [77, 105]]","[76.0, 106.5]",186.034
121,"[[79, 105], [79, 108], [81, 108], [81, 105]]","[80.0, 106.5]",218.348
122,"[[83, 105], [83, 108], [86, 108], [86, 105]]","[84.5, 106.5]",240.147
123,"[[88, 105], [88, 108], [93, 108], [93, 105]]","[90.5, 106.5]",62.6837
124,"[[95, 105], [95, 108], [104, 108], [104, 105]]","[99.5, 106.5]",130.982
125,"[[106, 105], [106, 108], [114, 108], [114, 105]]","[110.0, 106.5]",176.757
126,"[[21, 108], [21, 111], [24, 111], [24, 108]]","[22.5, 109.5]",694.933
127,"[[116, 108], [116, 111], [119, 111], [119, 108]]","[117.5, 109.5]",694.933
128,"[[26, 110], [26, 114], [34, 114], [34, 110]]","[30.0, 112.0]",177.56
129,"[[36, 110], [36, 114], [45, 114], [45, 110]]","[40.5, 112.0]",132.717
130,"[[47, 110], [47, 114], [52, 114], [52, 110]]","[49.5, 112.0]",64.1313
131,"[[54, 110], [54, 114], [57, 114], [57, 110]]","[55.5, 112.0]",242.806
132,"[[59, 110], [59, 114], [61, 114], [61, 110]]","[60.0, 112.0]",224.198
133,"[[63, 110], [63, 114], [65, 114], [65, 110]]","[64.0, 112.0]",189.279
134,"[[67, 110], [67, 114], [69, 114], [69, 110]]","[68.0, 112.0]",172.083
135,"[[71, 110], [71, 114], [73, 114], [73, 110]]","[72.0, 112.0]",172.083
