cell,corners,centroid,auxin
60,"[[21, 83], [21, 86], [24, 86], [24, 83]]","[22.5, 84.5]",670.163
61,"[[26, 83], [26, 86], [34, 86], [34, 83]]","[30.0, 84.5]",140.599
62,"[[36, 83], [36, 86], [45, 86], [45, 83]]","[40.5, 84.5]",114.149
63,"[[47, 83], [47, 86], [52, 86], [52, 83]]","[49.5, 84.5]",78.6891
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",293.978
65,"[[59, 83], [59, 86], [61, 86], [61, 83]]","[60.0, 84.5]",255.369
66,"[[63, 83], [63, 86], [65, 86], [65, 83]]","[64.0, 84.5]",206.49
67,"[[67, 83], [67, 86], [69, 86], [69, 83]]","[68.0, 84.5]",207.464
68,"[[71, 83], [71, 86], [73, 86], [73, 83]]","[72.0, 84.5]",207.464
69,"[[75, 83], [75, 86], [77, 86], [77, 83]]","[76.0, 84.5]",206.49
70,"[[79, 83], [79, 86], [81, 86], [81, 83]]","[80.0, 84.5]",255.369
71,"[[83, 83], [83, 86], [86, 86], [86, 83]]","[84.5, 84.5]",293.978
72,"[[88, 83], [88, 86], [93, 86], [93, 83]]","[90.5, 84.5]",78.6891
73,"[[95, 83], [95, 86], [104, 86], [104, 83]]","[99.5, 84.5]",114.149
74,"[[106, 83], [106, 86], [114, 86], [114, 83]]","[110.0, 84.5]",140.599
75,"[[116, 83], [116, 86], [119, 86], [119, 83]]","[117.5, 84.5]",670.163
76,"[[21, 88], [21, 91], [24, 91], [24, 88]]","[22.5, 89.5]",636.672
77,"[[26, 88], [26, 91], [34, 91], [34, 88]]","[30.0, 89.5]",145.453
78,"[[36, 88], [36, 91], [45, 91], [45, 88]]","[40.5, 89.5]",111.14
79,"[[47, 88], [47, 91], [52, 91], [52, 88]]","[49.5, 89.5]",57.706
80,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",238.702
81,"[[59, 88], [59, 91], [61, 91], [61, 88]]","[60.0, 89.5]",213.224
