cell,corners,centroid,auxin
60,"[[21, 83], [21, 86], [24, 86], [24, 83]]","[22.5, 84.5]",863.478
61,"[[26, 83], [26, 90], [34, 90], [34, 83]]","[30.0, 86.5]",186.178
62,"[[36, 83], [36, 90], [45, 90], [45, 83]]","[40.5, 86.5]",156.553
63,"[[47, 83], [47, 90], [52, 90], [52, 83]]","[49.5, 86.5]",81.7398
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",430.275
65,"[[59, 83], [59, 90], [61, 90], [61, 83]]","[60.0, 86.5]",398.851
66,"[[63, 83], [63, 90], [65, 90], [65, 83]]","[64.0, 86.5]",317.923
67,"[[67, 83], [67, 90], [69, 90], [69, 83]]","[68.0, 86.5]",311.485
68,"[[71, 83], [71, 90], [73, 90], [73, 83]]","[72.0, 86.5]",311.485
69,"[[75, 83], [75, 90], [77, 90], [77, 83]]","[76.0, 86.5]",317.923
70,"[[79, 83], [79, 90], [81, 90], [81, 83]]","[80.0, 86.5]",398.851
71,"[[83, 83], [83, 90], [86, 90], [86, 83]]","[84.5, 86.5]",430.275
72,"[[88, 83], [88, 90], [93, 90], [93, 83]]","[90.5, 86.5]",81.7398
73,"[[95, 83], [95, 90], [104, 90], [104, 83]]","[99.5, 86.5]",156.553
74,"[[106, 83], [106, 90], [114, 90], [114, 83]]","[110.0, 86.5]",186.178
75,"[[116, 83], [116, 86], [119, 86], [119, 83]]","[117.5, 84.5]",863.478
76,"[[21, 88], [21, 91], [24, 91], [24, 88]]","[22.5, 89.5]",817.974
77,"[[116, 88], [116, 91], [119, 91], [119, 88]]","[117.5, 89.5]",817.974
78,"[[26, 92], [26, 95], [34, 95], [34, 92]]","[30.0, 93.5]",193.375
79,"[[36, 92], [36, 95], [45, 95], [45, 92]]","[40.5, 93.5]",137.026
80,"[[47, 92], [47, 95], [52, 95], [52, 92]]","[49.5, 93.5]",61.7911
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",303.816
82,"[[59, 92], [59, 95], [61, 95], [61, 92]]","[60.0, 93.5]",275.018
83,"[[63, 92], [63, 95], [65, 95], [65, 92]]","[64.0, 93.5]",232.503
84,"[[67, 92], [67, 95], [69, 95], [69, 92]]","[68.0, 93.5]",211.049
85,"[[71, 92], [71, 95], [73, 95], [73, 92]]","[72.0, 93.5]",211.049
86,"[[75, 92], [75, 95], [77, 95], [77, 92]]","[76.0, 93.5]",232.503
87,"[[79, 92], [79, 95], [81, 95], [81, 92]]","[80.0, 93.5]",275.018
88,"[[83, 92], [83, 95], [86, 95], [86, 92]]","[84.5, 93.5]",303.816
89,"[[88, 92], [88, 95], [93, 95], [93, 92]]","[90.5, 93.5]",61.7911
90,"[[95, 92], [95, 95], [104, 95], [104, 92]]","[99.5, 93.5]",137.026
91,"[[106, 92], [106, 95], [114, 95], [114, 92]]","[110.0, 93.5]",193.375
92,"[[21, 93], [21, 96], [24, 96], [24, 93]]","[22.5, 94.5]",755.238
93,"[[116, 93], [116, 96], [119, 96], [119, 93]]","[117.5, 94.5]",755.238
94,"[[26, 97], [26, 100], [34, 100], [34, 97]]","[30.0, 98.5]",199.453
95,"[[36, 97], [36, 100], [45, 100], [45, 97]]","[40.5, 98.5]",138.088
96,"[[47, 97], [47, 100], [52, 100], [52, 97]]","[49.5, 98.5]",60.426
97,"[[54, 97], [54, 100], [57, 100], [57, 97]]","[55.5, 98.5]",290.245
98,"[[59, 97], [59, 100], [61, 100], [61, 97]]","[60.0, 98.5]",262.86
99,"[[63, 97], [63, 100], [65, 100], [65, 97]]","[64.0, 98.5]",221.974
100,"[[67, 97], [67, 100], [69, 100], [69, 97]]","[68.0, 98.5]",201.374
101,"[[71, 97], [71, 100], [73, 100], [73, 97]]","[72.0, 98.5]",201.374
102,"[[75, 97], [75, 100], [77, 100], [77, 97]]","[76.0, 98.5]",221.974
103,"[[79, 97], [79, 100], [81, 100], [81, 97]]","[80.0, 98.5]",262.86
104,"[[83, 97], [83, 100], [86, 100], [86, 97]]","[84.5, 98.5]",290.245
105,"[[88, 97], [88, 100], [93, 100], [93, 97]]","[90.5, 98.5]",60.426
106,"[[95, 97], [95, 100], [104, 100], [104, 97]]","[99.5, 98.5]",138.088
107,"[[106, 97], [106, 100], [114, 100], [114, 97]]","[110.0, 98.5]",199.453
108,"[[21, 98], [21, 101], [24, 101], [24, 98]]","[22.5, 99.5]",713.595
109,"[[116, 98], [116, 101], [119, 101], [119, 98]]","[117.5, 99.5]",713.595
110,"[[26, 102], [26, 106], [34, 106], [34, 102]]","[30.0, 104.0]",204.645
111,"[[36, 102], [36, 106], [45, 106], [45, 102]]","[40.5, 104.0]",139.508
112,"[[47, 102], [47, 106], [52, 106], [52, 102]]","[49.5, 104.0]",59.2062
113,"[[54, 102], [54, 106], [57, 106], [57, 102]]","[55.5, 104.0]",279.453
114,"[[59, 102], [59, 106], [61, 106], [61, 102]]","[60.0, 104.0]",255.267
115,"[[63, 102], [63, 106], [65, 106], [65, 102]]","[64.0, 104.0]",213.061
116,"[[67, 102], [67, 106], [69, 106], [69, 102]]","[68.0, 104.0]",193.053
117,"[[71, 102], [71, 106], [73, 106], [73, 102]]","[72.0, 104.0]",193.053
118,"[[75, 102], [75, 106], [77, 106], [77, 102]]","[76.0, 104.0]",213.061
119,"[[79, 102], [79, 106], [81, 106], [81, 102]]","[80.0, 104.0]",255.267
120,"[[83, 102], [83, 106], [86, 106], [86, 102]]","[84.5, 104.0]",279.453
121,"[[88, 102], [88, 106], [93, 106], [93, 102]]","[90.5, 104.0]",59.2062
122,"[[95, 102], [95, 106], [104, 106], [104, 102]]","[99.5, 104.0]",139.508
123,"[[106, 102], [106, 106], [114, 106], [114, 102]]","[110.0, 104.0]",204.645
124,"[[21, 103], [21, 106], [24, 106], [24, 103]]","[22.5, 104.5]",679.822
125,"[[116, 103], [116, 106], [119, 106], [119, 103]]","[117.5, 104.5]",679.822
126,"[[21, 108], [21, 111], [24, 111], [24, 108]]","[22.5, 109.5]",625.779
127,"[[26, 108], [26, 114], [34, 114], [34, 108]]","[30.0, 111.0]",190.522
128,"[[36, 108], [36, 114], [45, 114], [45, 108]]","[40.5, 111.0]",139.021
129,"[[47, 108], [47, 114], [52, 114], [52, 108]]","[49.5, 111.0]",61.0765
130,"[[54, 108], [54, 114], [57, 114], [57, 108]]","[55.5, 111.0]",238.653
131,"[[59, 108], [59, 114], [61, 114], [61, 108]]","[60.0, 111.0]",220.927
132,"[[63, 108], [63, 114], [65, 114], [65, 108]]","[64.0, 111.0]",183.48
133,"[[67, 108], [67, 114], [69, 114], [69, 108]]","[68.0, 111.0]",167.115
134,"[[71, 108], [71, 114], [73, 114], [73, 108]]","[72.0, 111.0]",167.115
135,"[[75, 108], [75, 114], [77, 114], [77, 108]]","[76.0, 111.0]",183.48
136,"[[79, 108], [79, 114], [81, 114], [81, 108]]","[80.0, 111.0]",220.927
137,"[[83, 108], [83, 114], [86, 114], [86, 108]]","[84.5, 111.0]",238.653
138,"[[88, 108], [88, 114], [93, 114], [93, 108]]","[90.5, 111.0]",61.0765
139,"[[95, 108], [95, 114], [104, 114], [104, 108]]","[99.5, 111.0]",139.021
140,"[[106, 108], [106, 114], [114, 114], [114, 108]]","[110.0, 111.0]",190.522
141,"[[116, 108], [116, 111], [119, 111], [119, 108]]","[117.5, 109.5]",625.779
142,"[[21, 113], [21, 120], [24, 120], [24, 113]]","[22.5, 116.5]",669.298
143,"[[116, 113], [116, 120], [119, 120], [119, 113]]","[117.5, 116.5]",669.298
144,"[[26, 116], [26, 119], [34, 119], [34, 116]]","[30.0, 117.5]",171.777
145,"[[36, 116], [36, 119], [45, 119], [45, 116]]","[40.5, 117.5]",124.772
146,"[[47, 116], [47, 119], [52, 119], [52, 116]]","[49.5, 117.5]",62.5815
147,"[[54, 116], [54, 119], [57, 119], [57, 116]]","[55.5, 117.5]",240.525
148,"[[59, 116], [59, 119], [61, 119], [61, 116]]","[60.0, 117.5]",219.775
149,"[[63, 116], [63, 119], [65, 119], [65, 116]]","[64.0, 117.5]",188.731
150,"[[67, 116], [67, 119], [69, 119], [69, 116]]","[68.0, 117.5]",173.399
151,"[[71, 116], [71, 119], [73, 119], [73, 116]]","[72.0, 117.5]",173.399
152,"[[75, 116], [75, 119], [77, 119], [77, 116]]","[76.0, 117.5]",188.731
153,"[[79, 116], [79, 119], [81, 119], [81, 116]]","[80.0, 117.5]",219.775
154,"[[83, 116], [83, 119], [86, 119], [86, 116]]","[84.5, 117.5]",240.525
155,"[[88, 116], [88, 119], [93, 119], [93, 116]]","[90.5, 117.5]",62.5815
156,"[[95, 116], [95, 119], [104, 119], [104, 116]]","[99.5, 117.5]",124.772
157,"[[106, 116], [106, 119], [114, 119], [114, 116]]","[110.0, 117.5]",171.777
158,"[[26, 121], [26, 124], [34, 124], [34, 121]]","[30.0, 122.5]",164.71
159,"[[36, 121], [36, 124], [45, 124], [45, 121]]","[40.5, 122.5]",122.831
160,"[[47, 121], [47, 124], [52, 124], [52, 121]]","[49.5, 122.5]",62.2126
161,"[[54, 121], [54, 124], [57, 124], [57, 121]]","[55.5, 122.5]",233.695
162,"[[59, 121], [59, 124], [61, 124], [61, 121]]","[60.0, 122.5]",212.215
163,"[[63, 121], [63, 124], [65, 124], [65, 121]]","[64.0, 122.5]",182.429
164,"[[67, 121], [67, 124], [69, 124], [69, 121]]","[68.0, 122.5]",167.964
165,"[[71, 121], [71, 124], [73, 124], [73, 121]]","[72.0, 122.5]",167.964
166,"[[75, 121], [75, 124], [77, 124], [77, 121]]","[76.0, 122.5]",182.429
167,"[[79, 121], [79, 124], [81, 124], [81, 121]]","[80.0, 122.5]",212.215
168,"[[83, 121], [83, 124], [86, 124], [86, 121]]","[84.5, 122.5]",233.695
169,"[[88, 121], [88, 124], [93, 124], [93, 121]]","[90.5, 122.5]",62.2126
170,"[[95, 121], [95, 124], [104, 124], [104, 121]]","[99.5, 122.5]",122.831
171,"[[106, 121], [106, 124], [114, 124], [114, 121]]","[110.0, 122.5]",164.71
172,"[[21, 122], [21, 129], [24, 129], [24, 122]]","[22.5, 125.5]",638.156
173,"[[116, 122], [116, 129], [119, 129], [119, 122]]","[117.5, 125.5]",638.156
174,"[[26, 126], [26, 129], [34, 129], [34, 126]]","[30.0, 127.5]",166.602
