cell,corners,centroid,auxin
60,"[[21, 83], [21, 88], [24, 88], [24, 83]]","[22.5, 85.5]",856.255
61,"[[26, 83], [26, 90], [34, 90], [34, 83]]","[30.0, 86.5]",185.919
62,"[[36, 83], [36, 90], [45, 90], [45, 83]]","[40.5, 86.5]",156.544
63,"[[47, 83], [47, 90], [52, 90], [52, 83]]","[49.5, 86.5]",83.2214
64,"[[54, 83], [54, 90], [57, 90], [57, 83]]","[55.5, 86.5]",421.213
65,"[[59, 83], [59, 90], [61, 90], [61, 83]]","[60.0, 86.5]",389.691
66,"[[63, 83], [63, 90], [65, 90], [65, 83]]","[64.0, 86.5]",311.535
67,"[[67, 83], [67, 90], [69, 90], [69, 83]]","[68.0, 86.5]",305.794
68,"[[71, 83], [71, 90], [73, 90], [73, 83]]","[72.0, 86.5]",305.794
69,"[[75, 83], [75, 90], [77, 90], [77, 83]]","[76.0, 86.5]",311.535
70,"[[79, 83], [79, 90], [81, 90], [81, 83]]","[80.0, 86.5]",389.691
71,"[[83, 83], [83, 90], [86, 90], [86, 83]]","[84.5, 86.5]",421.213
72,"[[88, 83], [88, 90], [93, 90], [93, 83]]","[90.5, 86.5]",83.2214
73,"[[95, 83], [95, 90], [104, 90], [104, 83]]","[99.5, 86.5]",156.544
74,"[[106, 83], [106, 90], [114, 90], [114, 83]]","[110.0, 86.5]",185.919
75,"[[116, 83], [116, 88], [119, 88], [119, 83]]","[117.5, 85.5]",856.255
76,"[[21, 90], [21, 95], [24, 95], [24, 90]]","[22.5, 92.5]",782.534
77,"[[116, 90], [116, 95], [119, 95], [119, 90]]","[117.5, 92.5]",782.534
78,"[[26, 92], [26, 95], [34, 95], [34, 92]]","[30.0, 93.5]",195.833
79,"[[36, 92], [36, 95], [45, 95], [45, 92]]","[40.5, 93.5]",138.123
80,"[[47, 92], [47, 95], [52, 95], [52, 92]]","[49.5, 93.5]",63.8642
81,"[[54, 92], [54, 95], [57, 95], [57, 92]]","[55.5, 93.5]",304.531
82,"[[59, 92], [59, 95], [61, 95], [61, 92]]","[60.0, 93.5]",276.785
83,"[[63, 92], [63, 95], [65, 95], [65, 92]]","[64.0, 93.5]",235.194
84,"[[67, 92], [67, 95], [69, 95], [69, 92]]","[68.0, 93.5]",214.349
85,"[[71, 92], [71, 95], [73, 95], [73, 92]]","[72.0, 93.5]",214.349
86,"[[75, 92], [75, 95], [77, 95], [77, 92]]","[76.0, 93.5]",235.194
87,"[[79, 92], [79, 95], [81, 95], [81, 92]]","[80.0, 93.5]",276.785
88,"[[83, 92], [83, 95], [86, 95], [86, 92]]","[84.5, 93.5]",304.531
89,"[[88, 92], [88, 95], [93, 95], [93, 92]]","[90.5, 93.5]",63.8642
90,"[[95, 92], [95, 95], [104, 95], [104, 92]]","[99.5, 93.5]",138.123
91,"[[106, 92], [106, 95], [114, 95], [114, 92]]","[110.0, 93.5]",195.833
106,"[[21, 97], [21, 102], [24, 102], [24, 97]]","[22.5, 99.5]",696.289
92,"[[26, 97], [26, 100], [34, 100], [34, 97]]","[30.0, 98.5]",194.992
93,"[[36, 97], [36, 100], [45, 100], [45, 97]]","[40.5, 98.5]",139.018
94,"[[47, 97], [47, 100], [52, 100], [52, 97]]","[49.5, 98.5]",62.7083
95,"[[54, 97], [54, 100], [57, 100], [57, 97]]","[55.5, 98.5]",290.912
96,"[[59, 97], [59, 100], [61, 100], [61, 97]]","[60.0, 98.5]",263.976
97,"[[63, 97], [63, 100], [65, 100], [65, 97]]","[64.0, 98.5]",224.907
98,"[[67, 97], [67, 100], [69, 100], [69, 97]]","[68.0, 98.5]",205.036
99,"[[71, 97], [71, 100], [73, 100], [73, 97]]","[72.0, 98.5]",205.036
100,"[[75, 97], [75, 100], [77, 100], [77, 97]]","[76.0, 98.5]",224.907
101,"[[79, 97], [79, 100], [81, 100], [81, 97]]","[80.0, 98.5]",263.976
102,"[[83, 97], [83, 100], [86, 100], [86, 97]]","[84.5, 98.5]",290.912
103,"[[88, 97], [88, 100], [93, 100], [93, 97]]","[90.5, 98.5]",62.7083
104,"[[95, 97], [95, 100], [104, 100], [104, 97]]","[99.5, 98.5]",139.018
105,"[[106, 97], [106, 100], [114, 100], [114, 97]]","[110.0, 98.5]",194.992
107,"[[116, 97], [116, 102], [119, 102], [119, 97]]","[117.5, 99.5]",696.289
108,"[[26, 102], [26, 105], [34, 105], [34, 102]]","[30.0, 103.5]",200.614
109,"[[36, 102], [36, 105], [45, 105], [45, 102]]","[40.5, 103.5]",138.855
110,"[[47, 102], [47, 105], [52, 105], [52, 102]]","[49.5, 103.5]",60.8612
111,"[[54, 102], [54, 105], [57, 105], [57, 102]]","[55.5, 103.5]",286.932
112,"[[59, 102], [59, 105], [61, 105], [61, 102]]","[60.0, 103.5]",261.008
113,"[[63, 102], [63, 105], [65, 105], [65, 102]]","[64.0, 103.5]",221.673
114,"[[67, 102], [67, 105], [69, 105], [69, 102]]","[68.0, 103.5]",201.246
115,"[[71, 102], [71, 105], [73, 105], [73, 102]]","[72.0, 103.5]",201.246
116,"[[75, 102], [75, 105], [77, 105], [77, 102]]","[76.0, 103.5]",221.673
117,"[[79, 102], [79, 105], [81, 105], [81, 102]]","[80.0, 103.5]",261.008
118,"[[83, 102], [83, 105], [86, 105], [86, 102]]","[84.5, 103.5]",286.932
119,"[[88, 102], [88, 105], [93, 105], [93, 102]]","[90.5, 103.5]",60.8612
120,"[[95, 102], [95, 105], [104, 105], [104, 102]]","[99.5, 103.5]",138.855
121,"[[106, 102], [106, 105], [114, 105], [114, 102]]","[110.0, 103.5]",200.614
122,"[[21, 104], [21, 109], [24, 109], [24, 104]]","[22.5, 106.5]",658.284
123,"[[116, 104], [116, 109], [119, 109], [119, 104]]","[117.5, 106.5]",658.284
124,"[[26, 107], [26, 111], [34, 111], [34, 107]]","[30.0, 109.0]",200.871
125,"[[36, 107], [36, 111], [45, 111], [45, 107]]","[40.5, 109.0]",138.506
126,"[[47, 107], [47, 111], [52, 111], [52, 107]]","[49.5, 109.0]",60.4699
127,"[[54, 107], [54, 111], [57, 111], [57, 107]]","[55.5, 109.0]",234.526
128,"[[59, 107], [59, 111], [61, 111], [61, 107]]","[60.0, 109.0]",218.955
129,"[[63, 107], [63, 111], [65, 111], [65, 107]]","[64.0, 109.0]",183.926
130,"[[67, 107], [67, 111], [69, 111], [69, 107]]","[68.0, 109.0]",166.233
131,"[[71, 107], [71, 111], [73, 111], [73, 107]]","[72.0, 109.0]",166.233
132,"[[75, 107], [75, 111], [77, 111], [77, 107]]","[76.0, 109.0]",183.926
133,"[[79, 107], [79, 111], [81, 111], [81, 107]]","[80.0, 109.0]",218.955
134,"[[83, 107], [83, 111], [86, 111], [86, 107]]","[84.5, 109.0]",234.526
135,"[[88, 107], [88, 111], [93, 111], [93, 107]]","[90.5, 109.0]",60.4699
136,"[[95, 107], [95, 111], [104, 111], [104, 107]]","[99.5, 109.0]",138.506
137,"[[106, 107], [106, 111], [114, 111], [114, 107]]","[110.0, 109.0]",200.871
138,"[[21, 111], [21, 116], [24, 116], [24, 111]]","[22.5, 113.5]",622.27
139,"[[116, 111], [116, 116], [119, 116], [119, 111]]","[117.5, 113.5]",622.27
140,"[[26, 113], [26, 119], [34, 119], [34, 113]]","[30.0, 116.0]",195.664
141,"[[36, 113], [36, 119], [45, 119], [45, 113]]","[40.5, 116.0]",138.917
142,"[[47, 113], [47, 119], [52, 119], [52, 113]]","[49.5, 116.0]",59.5025
143,"[[54, 113], [54, 119], [57, 119], [57, 113]]","[55.5, 116.0]",249.626
144,"[[59, 113], [59, 119], [61, 119], [61, 113]]","[60.0, 116.0]",239.659
145,"[[63, 113], [63, 119], [65, 119], [65, 113]]","[64.0, 116.0]",198.714
146,"[[67, 113], [67, 119], [69, 119], [69, 113]]","[68.0, 116.0]",179.664
147,"[[71, 113], [71, 119], [73, 119], [73, 113]]","[72.0, 116.0]",179.664
148,"[[75, 113], [75, 119], [77, 119], [77, 113]]","[76.0, 116.0]",198.714
149,"[[79, 113], [79, 119], [81, 119], [81, 113]]","[80.0, 116.0]",239.659
150,"[[83, 113], [83, 119], [86, 119], [86, 113]]","[84.5, 116.0]",249.626
151,"[[88, 113], [88, 119], [93, 119], [93, 113]]","[90.5, 116.0]",59.5025
152,"[[95, 113], [95, 119], [104, 119], [104, 113]]","[99.5, 116.0]",138.917
153,"[[106, 113], [106, 119], [114, 119], [114, 113]]","[110.0, 116.0]",195.664
154,"[[21, 118], [21, 123], [24, 123], [24, 118]]","[22.5, 120.5]",582.132
155,"[[116, 118], [116, 123], [119, 123], [119, 118]]","[117.5, 120.5]",582.132
156,"[[26, 121], [26, 127], [34, 127], [34, 121]]","[30.0, 124.0]",184.525
157,"[[36, 121], [36, 127], [45, 127], [45, 121]]","[40.5, 124.0]",133.514
158,"[[47, 121], [47, 127], [52, 127], [52, 121]]","[49.5, 124.0]",57.9905
159,"[[54, 121], [54, 127], [57, 127], [57, 121]]","[55.5, 124.0]",244.909
160,"[[59, 121], [59, 127], [61, 127], [61, 121]]","[60.0, 124.0]",234.845
161,"[[63, 121], [63, 127], [65, 127], [65, 121]]","[64.0, 124.0]",195.538
162,"[[67, 121], [67, 127], [69, 127], [69, 121]]","[68.0, 124.0]",177.789
163,"[[71, 121], [71, 127], [73, 127], [73, 121]]","[72.0, 124.0]",177.789
