auxin,arr,al,pin,pina,pinb,pinl,pinm,k1,k2,k3,k4,k5,k6,k_s,k_d,arr_hist,growing,circ_mod,vertices,neighbors
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[47,39,49,40]","[c33,c49,c45,c25]"
400,0,1,0.8375,3,0,0.05,0.3,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[26,33,50,51]","[c16,c20,c48]"
400,0,1,0.8375,3,0,0.05,0.3,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[40,31,52,53]","[c25,c19,c49]"
400,0,1,0.625,0.5,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[41,42,54,55]","[c28,c46,c44,c39]"
400,0,1,0.875,1,1,0.5,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[42,43,56,57]","[c29,c54,c38,c46,c40]"
400,0,1,0.125,0,0.5,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[43,44,57,58]","[c30,c55,c39,c41]"
400,0,1,0.125,0,0.5,0,0,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[44,45,58,59]","[c31,c56,c40,c42]"
400,0,1,0.875,1,1,0.5,1,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[45,46,59,60]","[c32,c57,c41,c43,c47]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[46,47,61,62]","[c33,c47,c42,c45]"
400,0,1,0.5,0,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[41,54,48,63]","[c38,c52,c34,c50]"
400,0,1,0.5,0,1,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[62,47,64,49]","[c43,c59,c51,c35]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[54,55,65,56]","[c38,c53,c50,c39]"
400,0,1,0.725,0.5,1,0.7,0.7,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[61,62,60,66]","[c43,c58,c42,c51]"
400,0,1,0.675,1,0.7,0.5,0.5,1,1,1,1,1,1,0.01,0.00,"[0,0,0]",FALSE,cont,"[33,48,51,67]","[c34,c36,c52]"
