x,y
21,84
26,84
36,84
47,84
54,84
59,84
63,84
67,84
71,84
75,84
79,84
83,84
88,84
95,84
106,84
116,84
121,84
21,89
26,89
36,89
47,89
54,89
59,89
63,89
67,89
71,89
75,89
79,89
83,89
88,89
95,89
106,89
116,89
121,89
21,94
26,94
36,94
47,94
54,94
59,94
63,94
67,94
71,94
75,94
79,94
83,94
88,94
95,94
106,94
116,94
121,94
