cell_id,cell_type,cell_zone,pin_wa,pin_wb,pin_wl,pin_wm
0,roottip,roottip,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
1,roottip,roottip,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
2,roottip,roottip,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
3,roottip,roottip,0.6666666666666667,1.0,0.6666666666666667,0.6666666666666667
4,roottip,roottip,0.4,1.0,0.8,0.8
5,roottip,roottip,0.4,1.0,0.8,0.8
6,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
7,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
8,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
9,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
10,roottip,roottip,0.0625,1.0,0.96875,0.96875
11,roottip,roottip,0.0625,1.0,0.96875,0.96875
12,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
13,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
14,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
15,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
16,roottip,roottip,0.0625,1.0,0.96875,0.96875
17,roottip,roottip,0.0625,1.0,0.96875,0.96875
18,roottip,roottip,0.0625,1.0,0.96875,0.96875
19,roottip,roottip,0.0625,1.0,0.96875,0.96875
20,roottip,roottip,0.0625,1.0,0.96875,0.96875
21,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
22,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
23,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
24,roottip,roottip,0.7692307692307692,0.6923076923076923,0.7692307692307692,0.7692307692307692
25,roottip,roottip,0.0625,1.0,0.96875,0.96875
26,roottip,roottip,0.0625,1.0,0.96875,0.96875
27,roottip,roottip,0.0625,1.0,0.96875,0.96875
28,roottip,roottip,0.8148148148148149,0.8148148148148149,0.6296296296296297,0.7407407407407407
29,roottip,roottip,0.7333333333333334,0.7333333333333334,0.8,0.7333333333333334
30,roottip,roottip,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7142857142857143
31,roottip,roottip,0.7857142857142857,0.7142857142857143,0.7857142857142857,0.7142857142857143
32,roottip,roottip,0.7333333333333334,0.7333333333333334,0.8,0.7333333333333334
33,roottip,roottip,0.8148148148148149,0.8148148148148149,0.6296296296296297,0.7407407407407407
34,roottip,roottip,0.6296296296296297,0.7407407407407407,0.8148148148148149,0.8148148148148149
35,roottip,roottip,0.6296296296296297,0.7407407407407407,0.8148148148148149,0.8148148148148149
36,roottip,roottip,0.10447761194029836,1.0,0.9850746268656716,0.9104477611940298
37,roottip,roottip,0.10447761194029836,1.0,0.9850746268656716,0.9104477611940298
38,roottip,roottip,0.8,0.6,0.8,0.8
39,roottip,roottip,0.7142857142857143,0.7142857142857143,0.8571428571428572,0.7142857142857143
40,roottip,roottip,1.0,0.0,1.0,1.0
41,roottip,roottip,1.0,0.0,1.0,1.0
42,roottip,roottip,0.7142857142857143,0.7142857142857143,0.8571428571428572,0.7142857142857143
43,roottip,roottip,0.8,0.6,0.8,0.8
44,roottip,roottip,1.0,0.5,0.75,0.75
45,roottip,roottip,1.0,0.5,0.75,0.75
46,roottip,roottip,0.8275862068965517,0.6551724137931034,0.7586206896551725,0.7586206896551725
47,roottip,roottip,0.8275862068965517,0.6551724137931034,0.7586206896551725,0.7586206896551725
48,roottip,roottip,0.6296296296296297,0.7407407407407407,0.8148148148148149,0.8148148148148149
49,roottip,roottip,0.6296296296296297,0.7407407407407407,0.8148148148148149,0.8148148148148149
50,roottip,roottip,0.8275862068965517,0.6551724137931034,0.7586206896551725,0.7586206896551725
51,roottip,roottip,0.8275862068965517,0.6551724137931034,0.7586206896551725,0.7586206896551725
52,roottip,roottip,1.0,0.0,1.0,1.0
53,roottip,roottip,1.0,0.5833333333333333,0.7083333333333333,0.7083333333333333
54,roottip,roottip,1.0,0.6,0.7,0.7
55,roottip,roottip,1.0,0.6,0.7,0.7
56,roottip,roottip,1.0,0.6,0.7,0.7
57,roottip,roottip,1.0,0.6,0.7,0.7
58,roottip,roottip,1.0,0.5833333333333333,0.7083333333333333,0.7083333333333333
59,roottip,roottip,1.0,0.0,1.0,1.0
60,roottip,roottip,0.09090909090909094,1.0,1.0,0.9090909090909091
61,epidermis,meristematic,0.16666666666666674,1.0,0.9166666666666666,0.9166666666666666
62,cortex,meristematic,1.0,0.16666666666666674,0.9166666666666666,0.9166666666666666
63,endo,meristematic,1.0,0.45945945945945954,0.8108108108108109,0.7297297297297298
64,peri,meristematic,1.0,0.45945945945945954,0.8108108108108109,0.7297297297297298
65,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
66,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
67,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
68,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
69,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
70,vasc,meristematic,1.0,0.4444444444444444,0.7777777777777777,0.7777777777777777
71,peri,meristematic,1.0,0.45945945945945954,0.8108108108108109,0.7297297297297298
