tick,mean,std,min,max
0,17.885,13.441310757650124,0.5,60.0
1,17.575232863636362,13.196338762369695,0.503097,58.9167
2,17.271050409090908,12.955889727453872,0.506134,57.8533
3,16.972339409090907,12.719892387629107,0.509114,56.8095
4,16.67900477272727,12.488240801787803,0.512038,55.7849
5,16.390942318181818,12.260848307542132,0.514907,54.7791
6,16.10806363636364,12.037628788282131,0.517722,53.7917
7,15.830281818181819,11.81851288893777,0.520484,52.8224
8,15.55747209090909,11.603412038920503,0.523195,51.8709
9,15.289441136363637,11.391618134160163,0.525855,50.9303
10,15.026237409090909,11.183728729423379,0.528466,50.0072
11,14.767776727272729,10.979676142016038,0.531029,49.1013
12,14.51397559090909,10.779378690965109,0.533544,48.2122
13,15.712960608695653,12.41706238785238,0.536013,47.5735
14,15.442354652173913,12.192031052368817,0.538436,46.7337
15,15.176617304347827,11.971089192178125,0.540815,45.9088
16,14.91566004347826,11.754162596632273,0.54315,45.0986
17,14.659398217391304,11.541183081811328,0.545442,44.3029
18,14.407743043478261,11.332064999269361,0.547692,43.5213
19,14.160610347826086,11.126751160562453,0.549901,42.7537
20,13.917924608695651,10.925167640416129,0.552069,41.9998
21,13.67959695652174,10.72723451896491,0.554197,41.2593
22,13.445556652173911,10.532900671201299,0.556286,40.532
23,13.215753565217392,10.342071090721799,0.558337,39.8177
24,12.990121347826086,10.15489238419855,0.560351,39.115
25,12.76839747826087,9.970752993451882,0.562328,38.4218
26,12.550667434782609,9.789961847412261,0.564269,37.7411
27,12.336851260869564,9.612450858474114,0.566174,37.0727
28,12.12689147826087,9.438168517481444,0.568045,36.4164
29,12.914661458333333,10.267903622606868,0.569881,35.7755
30,12.694423708333334,10.08232441042829,0.571684,35.1465
31,12.478156666666665,9.900111946262264,0.573454,34.5288
32,12.265770875,9.721186684361983,0.575192,33.9221
33,12.057203125000001,9.545495613537016,0.576898,33.3263
34,11.852410208333334,9.372984079116236,0.578573,32.7411
35,11.651274,9.203594122600302,0.580218,32.1664
36,11.453780916666666,9.037263604679447,0.581833,31.602
37,11.259821791666667,8.873966887829738,0.583418,31.0477
38,11.069386416666667,8.713628632005676,0.584975,30.5033
39,10.882315708333332,8.55606492103973,0.586503,29.9686
40,10.698667416666666,8.401493720465316,0.588004,29.4428
41,10.518233208333333,8.249510760521117,0.589477,28.9243
42,10.341048291666667,8.100280957856775,0.590924,28.4152
43,10.167053541666666,7.953755853861193,0.592344,27.9153
44,9.996184916666666,7.809873050629735,0.593739,27.4244
45,9.828398041666667,7.668606984346075,0.595108,26.9423
46,10.335942,8.090404015929655,0.596453,26.4715
47,10.162109319999999,7.94433937154582,0.597773,26.009
48,9.991418600000001,7.8009170290120915,0.599069,25.5548
49,9.82378312,7.660090263138673,0.600342,25.1088
50,9.65917736,7.5217991105211475,0.601592,24.6708
51,9.49753184,7.386001295327724,0.602819,24.2406
52,9.33876304,7.252641020726607,0.604024,23.8181
53,9.18289268,7.121777835447801,0.605207,23.4032
54,9.02982684,6.993277056026839,0.606368,22.9957
55,8.8794728,6.867013862747153,0.607509,22.5955
56,8.73186228,6.743111118996999,0.608629,22.2019
57,8.58690372,6.621439508471259,0.609729,21.8154
58,8.444496000000001,6.501848609445803,0.610809,21.4344
59,8.3046532,6.3844248138972475,0.611869,21.0603
60,8.16732352,6.2691155144542625,0.61291,20.6929
61,8.03246776,6.155896847795255,0.613932,20.3322
62,7.9000432,6.04471868215607,0.614936,19.978
63,8.226222576923076,6.257393400384709,0.615922,19.632
64,8.090346461538461,6.144533341860828,0.61689,19.2921
65,7.956936653846155,6.033717325011748,0.61784,18.9583
66,7.825926461538462,5.9249004604890345,0.618773,18.6304
67,7.697246153846153,5.818002236958027,0.619689,18.3084
68,7.570877461538462,5.713028159554654,0.620589,17.9922
69,7.446812653846154,5.610004681361885,0.621472,17.6817
70,7.324975769230769,5.508833131597761,0.622339,17.3767
71,7.205302615384616,5.40943620075665,0.623191,17.0772
72,7.087786230769231,5.311844525056738,0.624027,16.7831
73,6.9724059615384615,5.2160549115529795,0.624848,16.4939
74,6.859106115384615,5.122000291216568,0.625654,16.2099
75,6.747804038461538,5.02956765812311,0.626446,15.9299
76,6.638505576923077,4.938789142991752,0.627224,15.655
77,6.531176192307693,4.849651847857891,0.627988,15.385
78,6.425764,4.762124008143664,0.628738,15.1199
79,6.3222478846153845,4.676176153643325,0.629474,14.8596
80,6.220619423076924,4.591823380977266,0.630197,14.604
81,6.425805444444444,4.693388414502282,0.630907,14.3555
82,6.322318111111111,4.608760302700306,0.631604,14.1101
83,6.220691296296296,4.525657654317756,0.632288,13.8691
84,6.120893925925926,4.444057619519223,0.63296,13.6325
85,6.022911592592593,4.3639626865487555,0.63362,13.4001
86,5.926695814814815,4.2853187562447195,0.634268,13.1719
87,6.032101730769231,4.159611368300278,0.637675,12.9478
88,5.935702423076923,4.084603650234474,0.638316,12.7277
89,5.841028961538461,4.010937995387013,0.638946,12.5115
90,5.748079846153846,3.93863668815118,0.639564,12.2989
91,5.6568158461538465,3.8676393157844315,0.640171,12.0902
92,5.567188192307692,3.797914926812683,0.640767,11.8852
