cell,corners,centroid,auxin
60,"[[21, 83], [21, 87], [24, 87], [24, 83]]","[22.5, 85.0]",668.197
61,"[[26, 83], [26, 86], [34, 86], [34, 83]]","[30.0, 84.5]",133.04
62,"[[36, 83], [36, 86], [45, 86], [45, 83]]","[40.5, 84.5]",108.208
63,"[[47, 83], [47, 86], [52, 86], [52, 83]]","[49.5, 84.5]",74.5094
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",304.423
65,"[[59, 83], [59, 86], [61, 86], [61, 83]]","[60.0, 84.5]",267.843
66,"[[63, 83], [63, 86], [65, 86], [65, 83]]","[64.0, 84.5]",218.303
67,"[[67, 83], [67, 86], [69, 86], [69, 83]]","[68.0, 84.5]",219.91
68,"[[71, 83], [71, 86], [73, 86], [73, 83]]","[72.0, 84.5]",219.91
69,"[[75, 83], [75, 86], [77, 86], [77, 83]]","[76.0, 84.5]",218.303
70,"[[79, 83], [79, 86], [81, 86], [81, 83]]","[80.0, 84.5]",267.843
71,"[[83, 83], [83, 86], [86, 86], [86, 83]]","[84.5, 84.5]",304.423
72,"[[88, 83], [88, 86], [93, 86], [93, 83]]","[90.5, 84.5]",74.5094
73,"[[95, 83], [95, 86], [104, 86], [104, 83]]","[99.5, 84.5]",108.208
74,"[[106, 83], [106, 86], [114, 86], [114, 83]]","[110.0, 84.5]",133.04
75,"[[116, 83], [116, 87], [119, 87], [119, 83]]","[117.5, 85.0]",668.197
76,"[[26, 88], [26, 91], [34, 91], [34, 88]]","[30.0, 89.5]",135.758
77,"[[36, 88], [36, 91], [45, 91], [45, 88]]","[40.5, 89.5]",104.111
78,"[[47, 88], [47, 91], [52, 91], [52, 88]]","[49.5, 89.5]",53.4536
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",242.261
80,"[[59, 88], [59, 91], [61, 91], [61, 88]]","[60.0, 89.5]",218.962
81,"[[63, 88], [63, 91], [65, 91], [65, 88]]","[64.0, 89.5]",184.639
82,"[[67, 88], [67, 91], [69, 91], [69, 88]]","[68.0, 89.5]",168.897
83,"[[71, 88], [71, 91], [73, 91], [73, 88]]","[72.0, 89.5]",168.897
84,"[[75, 88], [75, 91], [77, 91], [77, 88]]","[76.0, 89.5]",184.639
85,"[[79, 88], [79, 91], [81, 91], [81, 88]]","[80.0, 89.5]",218.962
86,"[[83, 88], [83, 91], [86, 91], [86, 88]]","[84.5, 89.5]",242.261
87,"[[88, 88], [88, 91], [93, 91], [93, 88]]","[90.5, 89.5]",53.4536
88,"[[95, 88], [95, 91], [104, 91], [104, 88]]","[99.5, 89.5]",104.111
89,"[[106, 88], [106, 91], [114, 91], [114, 88]]","[110.0, 89.5]",135.758
90,"[[21, 89], [21, 93], [24, 93], [24, 89]]","[22.5, 91.0]",631.761
91,"[[116, 89], [116, 93], [119, 93], [119, 89]]","[117.5, 91.0]",631.761
92,"[[26, 93], [26, 96], [34, 96], [34, 93]]","[30.0, 94.5]",142.108
93,"[[36, 93], [36, 96], [45, 96], [45, 93]]","[40.5, 94.5]",103.865
94,"[[47, 93], [47, 96], [52, 96], [52, 93]]","[49.5, 94.5]",52.0954
95,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",229.833
96,"[[59, 93], [59, 96], [61, 96], [61, 93]]","[60.0, 94.5]",207.7
97,"[[63, 93], [63, 96], [65, 96], [65, 93]]","[64.0, 94.5]",174.412
98,"[[67, 93], [67, 96], [69, 96], [69, 93]]","[68.0, 94.5]",156.764
99,"[[71, 93], [71, 96], [73, 96], [73, 93]]","[72.0, 94.5]",156.764
100,"[[75, 93], [75, 96], [77, 96], [77, 93]]","[76.0, 94.5]",174.412
101,"[[79, 93], [79, 96], [81, 96], [81, 93]]","[80.0, 94.5]",207.7
102,"[[83, 93], [83, 96], [86, 96], [86, 93]]","[84.5, 94.5]",229.833
103,"[[88, 93], [88, 96], [93, 96], [93, 93]]","[90.5, 94.5]",52.0954
104,"[[95, 93], [95, 96], [104, 96], [104, 93]]","[99.5, 94.5]",103.865
105,"[[106, 93], [106, 96], [114, 96], [114, 93]]","[110.0, 94.5]",142.108
106,"[[21, 95], [21, 99], [24, 99], [24, 95]]","[22.5, 97.0]",600.633
107,"[[116, 95], [116, 99], [119, 99], [119, 95]]","[117.5, 97.0]",600.633
108,"[[26, 98], [26, 101], [34, 101], [34, 98]]","[30.0, 99.5]",142.435
109,"[[36, 98], [36, 101], [45, 101], [45, 98]]","[40.5, 99.5]",103.54
110,"[[47, 98], [47, 101], [52, 101], [52, 98]]","[49.5, 99.5]",51.6356
111,"[[54, 98], [54, 101], [57, 101], [57, 98]]","[55.5, 99.5]",224.572
112,"[[59, 98], [59, 101], [61, 101], [61, 98]]","[60.0, 99.5]",202.453
113,"[[63, 98], [63, 101], [65, 101], [65, 98]]","[64.0, 99.5]",170.518
114,"[[67, 98], [67, 101], [69, 101], [69, 98]]","[68.0, 99.5]",154.173
115,"[[71, 98], [71, 101], [73, 101], [73, 98]]","[72.0, 99.5]",154.173
116,"[[75, 98], [75, 101], [77, 101], [77, 98]]","[76.0, 99.5]",170.518
117,"[[79, 98], [79, 101], [81, 101], [81, 98]]","[80.0, 99.5]",202.453
118,"[[83, 98], [83, 101], [86, 101], [86, 98]]","[84.5, 99.5]",224.572
119,"[[88, 98], [88, 101], [93, 101], [93, 98]]","[90.5, 99.5]",51.6356
120,"[[95, 98], [95, 101], [104, 101], [104, 98]]","[99.5, 99.5]",103.54
121,"[[106, 98], [106, 101], [114, 101], [114, 98]]","[110.0, 99.5]",142.435
122,"[[21, 101], [21, 105], [24, 105], [24, 101]]","[22.5, 103.0]",570.036
123,"[[116, 101], [116, 105], [119, 105], [119, 101]]","[117.5, 103.0]",570.036
124,"[[26, 103], [26, 106], [34, 106], [34, 103]]","[30.0, 104.5]",139.771
125,"[[36, 103], [36, 106], [45, 106], [45, 103]]","[40.5, 104.5]",102.529
126,"[[47, 103], [47, 106], [52, 106], [52, 103]]","[49.5, 104.5]",51.5824
127,"[[54, 103], [54, 106], [57, 106], [57, 103]]","[55.5, 104.5]",215.459
128,"[[59, 103], [59, 106], [61, 106], [61, 103]]","[60.0, 104.5]",193.659
129,"[[63, 103], [63, 106], [65, 106], [65, 103]]","[64.0, 104.5]",162.911
130,"[[67, 103], [67, 106], [69, 106], [69, 103]]","[68.0, 104.5]",147.222
131,"[[71, 103], [71, 106], [73, 106], [73, 103]]","[72.0, 104.5]",147.222
132,"[[75, 103], [75, 106], [77, 106], [77, 103]]","[76.0, 104.5]",162.911
133,"[[79, 103], [79, 106], [81, 106], [81, 103]]","[80.0, 104.5]",193.659
134,"[[83, 103], [83, 106], [86, 106], [86, 103]]","[84.5, 104.5]",215.459
135,"[[88, 103], [88, 106], [93, 106], [93, 103]]","[90.5, 104.5]",51.5824
136,"[[95, 103], [95, 106], [104, 106], [104, 103]]","[99.5, 104.5]",102.529
137,"[[106, 103], [106, 106], [114, 106], [114, 103]]","[110.0, 104.5]",139.771
138,"[[21, 107], [21, 110], [24, 110], [24, 107]]","[22.5, 108.5]",559.94
139,"[[116, 107], [116, 110], [119, 110], [119, 107]]","[117.5, 108.5]",559.94
140,"[[26, 108], [26, 111], [34, 111], [34, 108]]","[30.0, 109.5]",137.564
141,"[[36, 108], [36, 111], [45, 111], [45, 108]]","[40.5, 109.5]",101.292
142,"[[47, 108], [47, 111], [52, 111], [52, 108]]","[49.5, 109.5]",52.7141
143,"[[54, 108], [54, 111], [57, 111], [57, 108]]","[55.5, 109.5]",184.236
144,"[[59, 108], [59, 111], [61, 111], [61, 108]]","[60.0, 109.5]",167.043
145,"[[63, 108], [63, 111], [65, 111], [65, 108]]","[64.0, 109.5]",141.249
146,"[[67, 108], [67, 111], [69, 111], [69, 108]]","[68.0, 109.5]",127.935
147,"[[71, 108], [71, 111], [73, 111], [73, 108]]","[72.0, 109.5]",127.935
148,"[[75, 108], [75, 111], [77, 111], [77, 108]]","[76.0, 109.5]",141.249
149,"[[79, 108], [79, 111], [81, 111], [81, 108]]","[80.0, 109.5]",167.043
150,"[[83, 108], [83, 111], [86, 111], [86, 108]]","[84.5, 109.5]",184.236
151,"[[88, 108], [88, 111], [93, 111], [93, 108]]","[90.5, 109.5]",52.7141
152,"[[95, 108], [95, 111], [104, 111], [104, 108]]","[99.5, 109.5]",101.292
153,"[[106, 108], [106, 111], [114, 111], [114, 108]]","[110.0, 109.5]",137.564
154,"[[21, 112], [21, 115], [24, 115], [24, 112]]","[22.5, 113.5]",543.963
155,"[[116, 112], [116, 115], [119, 115], [119, 112]]","[117.5, 113.5]",543.963
156,"[[26, 113], [26, 116], [34, 116], [34, 113]]","[30.0, 114.5]",134.654
157,"[[36, 113], [36, 116], [45, 116], [45, 113]]","[40.5, 114.5]",99.6818
158,"[[47, 113], [47, 116], [52, 116], [52, 113]]","[49.5, 114.5]",53.0323
159,"[[54, 113], [54, 116], [57, 116], [57, 113]]","[55.5, 114.5]",193.897
160,"[[59, 113], [59, 116], [61, 116], [61, 113]]","[60.0, 114.5]",176.948
161,"[[63, 113], [63, 116], [65, 116], [65, 113]]","[64.0, 114.5]",149.654
162,"[[67, 113], [67, 116], [69, 116], [69, 113]]","[68.0, 114.5]",135.579
163,"[[71, 113], [71, 116], [73, 116], [73, 113]]","[72.0, 114.5]",135.579
164,"[[75, 113], [75, 116], [77, 116], [77, 113]]","[76.0, 114.5]",149.654
165,"[[79, 113], [79, 116], [81, 116], [81, 113]]","[80.0, 114.5]",176.948
166,"[[83, 113], [83, 116], [86, 116], [86, 113]]","[84.5, 114.5]",193.897
167,"[[88, 113], [88, 116], [93, 116], [93, 113]]","[90.5, 114.5]",53.0323
168,"[[95, 113], [95, 116], [104, 116], [104, 113]]","[99.5, 114.5]",99.6818
169,"[[106, 113], [106, 116], [114, 116], [114, 113]]","[110.0, 114.5]",134.654
170,"[[21, 117], [21, 120], [24, 120], [24, 117]]","[22.5, 118.5]",526.932
171,"[[116, 117], [116, 120], [119, 120], [119, 117]]","[117.5, 118.5]",526.932
172,"[[26, 118], [26, 121], [34, 121], [34, 118]]","[30.0, 119.5]",131.728
173,"[[36, 118], [36, 121], [45, 121], [45, 118]]","[40.5, 119.5]",98.1062
174,"[[47, 118], [47, 121], [52, 121], [52, 118]]","[49.5, 119.5]",52.2523
175,"[[54, 118], [54, 121], [57, 121], [57, 118]]","[55.5, 119.5]",189.633
176,"[[59, 118], [59, 121], [61, 121], [61, 118]]","[60.0, 119.5]",172.655
177,"[[63, 118], [63, 121], [65, 121], [65, 118]]","[64.0, 119.5]",145.965
178,"[[67, 118], [67, 121], [69, 121], [69, 118]]","[68.0, 119.5]",132.342
179,"[[71, 118], [71, 121], [73, 121], [73, 118]]","[72.0, 119.5]",132.342
180,"[[75, 118], [75, 121], [77, 121], [77, 118]]","[76.0, 119.5]",145.965
181,"[[79, 118], [79, 121], [81, 121], [81, 118]]","[80.0, 119.5]",172.655
182,"[[83, 118], [83, 121], [86, 121], [86, 118]]","[84.5, 119.5]",189.633
183,"[[88, 118], [88, 121], [93, 121], [93, 118]]","[90.5, 119.5]",52.2523
184,"[[95, 118], [95, 121], [104, 121], [104, 118]]","[99.5, 119.5]",98.1062
185,"[[106, 118], [106, 121], [114, 121], [114, 118]]","[110.0, 119.5]",131.728
186,"[[21, 122], [21, 125], [24, 125], [24, 122]]","[22.5, 123.5]",513.272
187,"[[116, 122], [116, 125], [119, 125], [119, 122]]","[117.5, 123.5]",513.272
188,"[[26, 123], [26, 126], [34, 126], [34, 123]]","[30.0, 124.5]",128.61
189,"[[36, 123], [36, 126], [45, 126], [45, 123]]","[40.5, 124.5]",96.5604
190,"[[47, 123], [47, 126], [52, 126], [52, 123]]","[49.5, 124.5]",51.4978
191,"[[54, 123], [54, 126], [57, 126], [57, 123]]","[55.5, 124.5]",182.617
192,"[[59, 123], [59, 126], [61, 126], [61, 123]]","[60.0, 124.5]",165.684
193,"[[63, 123], [63, 126], [65, 126], [65, 123]]","[64.0, 124.5]",139.981
194,"[[67, 123], [67, 126], [69, 126], [69, 123]]","[68.0, 124.5]",127.114
195,"[[71, 123], [71, 126], [73, 126], [73, 123]]","[72.0, 124.5]",127.114
196,"[[75, 123], [75, 126], [77, 126], [77, 123]]","[76.0, 124.5]",139.981
197,"[[79, 123], [79, 126], [81, 126], [81, 123]]","[80.0, 124.5]",165.684
198,"[[83, 123], [83, 126], [86, 126], [86, 123]]","[84.5, 124.5]",182.617
199,"[[88, 123], [88, 126], [93, 126], [93, 123]]","[90.5, 124.5]",51.4978
200,"[[95, 123], [95, 126], [104, 126], [104, 123]]","[99.5, 124.5]",96.5604
201,"[[106, 123], [106, 126], [114, 126], [114, 123]]","[110.0, 124.5]",128.61
202,"[[21, 127], [21, 130], [24, 130], [24, 127]]","[22.5, 128.5]",496.534
203,"[[116, 127], [116, 130], [119, 130], [119, 127]]","[117.5, 128.5]",496.534
204,"[[26, 128], [26, 131], [34, 131], [34, 128]]","[30.0, 129.5]",125.672
205,"[[36, 128], [36, 131], [45, 131], [45, 128]]","[40.5, 129.5]",95.5094
206,"[[47, 128], [47, 131], [52, 131], [52, 128]]","[49.5, 129.5]",50.9548
207,"[[54, 128], [54, 131], [57, 131], [57, 128]]","[55.5, 129.5]",176.997
208,"[[59, 128], [59, 131], [61, 131], [61, 128]]","[60.0, 129.5]",160.251
209,"[[63, 128], [63, 131], [65, 131], [65, 128]]","[64.0, 129.5]",135.904
210,"[[67, 128], [67, 131], [69, 131], [69, 128]]","[68.0, 129.5]",123.865
211,"[[71, 128], [71, 131], [73, 131], [73, 128]]","[72.0, 129.5]",123.865
212,"[[75, 128], [75, 131], [77, 131], [77, 128]]","[76.0, 129.5]",135.904
213,"[[79, 128], [79, 131], [81, 131], [81, 128]]","[80.0, 129.5]",160.251
214,"[[83, 128], [83, 131], [86, 131], [86, 128]]","[84.5, 129.5]",176.997
215,"[[88, 128], [88, 131], [93, 131], [93, 128]]","[90.5, 129.5]",50.9548
216,"[[95, 128], [95, 131], [104, 131], [104, 128]]","[99.5, 129.5]",95.5094
217,"[[106, 128], [106, 131], [114, 131], [114, 128]]","[110.0, 129.5]",125.672
218,"[[21, 132], [21, 135], [24, 135], [24, 132]]","[22.5, 133.5]",475.978
219,"[[116, 132], [116, 135], [119, 135], [119, 132]]","[117.5, 133.5]",475.978
220,"[[26, 133], [26, 136], [34, 136], [34, 133]]","[30.0, 134.5]",127.346
221,"[[36, 133], [36, 136], [45, 136], [45, 133]]","[40.5, 134.5]",94.5776
222,"[[47, 133], [47, 136], [52, 136], [52, 133]]","[49.5, 134.5]",51.0163
223,"[[54, 133], [54, 136], [57, 136], [57, 133]]","[55.5, 134.5]",167.645
224,"[[59, 133], [59, 136], [61, 136], [61, 133]]","[60.0, 134.5]",151.985
225,"[[63, 133], [63, 136], [65, 136], [65, 133]]","[64.0, 134.5]",129.503
226,"[[67, 133], [67, 136], [69, 136], [69, 133]]","[68.0, 134.5]",118.486
227,"[[71, 133], [71, 136], [73, 136], [73, 133]]","[72.0, 134.5]",118.486
228,"[[75, 133], [75, 136], [77, 136], [77, 133]]","[76.0, 134.5]",129.503
229,"[[79, 133], [79, 136], [81, 136], [81, 133]]","[80.0, 134.5]",151.985
230,"[[83, 133], [83, 136], [86, 136], [86, 133]]","[84.5, 134.5]",167.645
231,"[[88, 133], [88, 136], [93, 136], [93, 133]]","[90.5, 134.5]",51.0163
232,"[[95, 133], [95, 136], [104, 136], [104, 133]]","[99.5, 134.5]",94.5776
233,"[[106, 133], [106, 136], [114, 136], [114, 133]]","[110.0, 134.5]",127.346
234,"[[21, 137], [21, 140], [24, 140], [24, 137]]","[22.5, 138.5]",454.805
235,"[[116, 137], [116, 140], [119, 140], [119, 137]]","[117.5, 138.5]",454.805
236,"[[26, 138], [26, 141], [34, 141], [34, 138]]","[30.0, 139.5]",126.37
237,"[[36, 138], [36, 141], [45, 141], [45, 138]]","[40.5, 139.5]",93.4236
238,"[[47, 138], [47, 141], [52, 141], [52, 138]]","[49.5, 139.5]",52.4446
239,"[[54, 138], [54, 141], [57, 141], [57, 138]]","[55.5, 139.5]",137.894
240,"[[59, 138], [59, 141], [61, 141], [61, 138]]","[60.0, 139.5]",127.761
241,"[[63, 138], [63, 141], [65, 141], [65, 138]]","[64.0, 139.5]",110.609
242,"[[67, 138], [67, 141], [69, 141], [69, 138]]","[68.0, 139.5]",101.978
243,"[[71, 138], [71, 141], [73, 141], [73, 138]]","[72.0, 139.5]",101.978
244,"[[75, 138], [75, 141], [77, 141], [77, 138]]","[76.0, 139.5]",110.609
245,"[[79, 138], [79, 141], [81, 141], [81, 138]]","[80.0, 139.5]",127.761
246,"[[83, 138], [83, 141], [86, 141], [86, 138]]","[84.5, 139.5]",137.894
247,"[[88, 138], [88, 141], [93, 141], [93, 138]]","[90.5, 139.5]",52.4446
248,"[[95, 138], [95, 141], [104, 141], [104, 138]]","[99.5, 139.5]",93.4236
249,"[[106, 138], [106, 141], [114, 141], [114, 138]]","[110.0, 139.5]",126.37
250,"[[21, 142], [21, 145], [24, 145], [24, 142]]","[22.5, 143.5]",439.763
251,"[[116, 142], [116, 145], [119, 145], [119, 142]]","[117.5, 143.5]",439.763
252,"[[26, 143], [26, 146], [34, 146], [34, 143]]","[30.0, 144.5]",123.908
253,"[[36, 143], [36, 146], [45, 146], [45, 143]]","[40.5, 144.5]",91.1761
254,"[[47, 143], [47, 146], [52, 146], [52, 143]]","[49.5, 144.5]",52.7154
255,"[[54, 143], [54, 146], [57, 146], [57, 143]]","[55.5, 144.5]",146.821
256,"[[59, 143], [59, 146], [61, 146], [61, 143]]","[60.0, 144.5]",138.233
257,"[[63, 143], [63, 146], [65, 146], [65, 143]]","[64.0, 144.5]",120.144
258,"[[67, 143], [67, 146], [69, 146], [69, 143]]","[68.0, 144.5]",110.943
259,"[[71, 143], [71, 146], [73, 146], [73, 143]]","[72.0, 144.5]",110.943
260,"[[75, 143], [75, 146], [77, 146], [77, 143]]","[76.0, 144.5]",120.144
261,"[[79, 143], [79, 146], [81, 146], [81, 143]]","[80.0, 144.5]",138.233
262,"[[83, 143], [83, 146], [86, 146], [86, 143]]","[84.5, 144.5]",146.821
263,"[[88, 143], [88, 146], [93, 146], [93, 143]]","[90.5, 144.5]",52.7154
264,"[[95, 143], [95, 146], [104, 146], [104, 143]]","[99.5, 144.5]",91.1761
265,"[[106, 143], [106, 146], [114, 146], [114, 143]]","[110.0, 144.5]",123.908
266,"[[21, 147], [21, 150], [24, 150], [24, 147]]","[22.5, 148.5]",421.85
267,"[[116, 147], [116, 150], [119, 150], [119, 147]]","[117.5, 148.5]",421.85
268,"[[26, 148], [26, 151], [34, 151], [34, 148]]","[30.0, 149.5]",120.896
269,"[[36, 148], [36, 151], [45, 151], [45, 148]]","[40.5, 149.5]",88.5996
270,"[[47, 148], [47, 151], [52, 151], [52, 148]]","[49.5, 149.5]",51.4345
271,"[[54, 148], [54, 151], [57, 151], [57, 148]]","[55.5, 149.5]",143.823
272,"[[59, 148], [59, 151], [61, 151], [61, 148]]","[60.0, 149.5]",136.116
273,"[[63, 148], [63, 151], [65, 151], [65, 148]]","[64.0, 149.5]",118.636
274,"[[67, 148], [67, 151], [69, 151], [69, 148]]","[68.0, 149.5]",109.657
275,"[[71, 148], [71, 151], [73, 151], [73, 148]]","[72.0, 149.5]",109.657
276,"[[75, 148], [75, 151], [77, 151], [77, 148]]","[76.0, 149.5]",118.636
277,"[[79, 148], [79, 151], [81, 151], [81, 148]]","[80.0, 149.5]",136.116
278,"[[83, 148], [83, 151], [86, 151], [86, 148]]","[84.5, 149.5]",143.823
279,"[[88, 148], [88, 151], [93, 151], [93, 148]]","[90.5, 149.5]",51.4345
280,"[[95, 148], [95, 151], [104, 151], [104, 148]]","[99.5, 149.5]",88.5996
281,"[[106, 148], [106, 151], [114, 151], [114, 148]]","[110.0, 149.5]",120.896
282,"[[21, 152], [21, 155], [24, 155], [24, 152]]","[22.5, 153.5]",403.178
283,"[[116, 152], [116, 155], [119, 155], [119, 152]]","[117.5, 153.5]",403.178
284,"[[26, 153], [26, 156], [34, 156], [34, 153]]","[30.0, 154.5]",116.203
285,"[[36, 153], [36, 156], [45, 156], [45, 153]]","[40.5, 154.5]",85.5172
286,"[[47, 153], [47, 156], [52, 156], [52, 153]]","[49.5, 154.5]",49.9513
287,"[[54, 153], [54, 156], [57, 156], [57, 153]]","[55.5, 154.5]",137.665
288,"[[59, 153], [59, 156], [61, 156], [61, 153]]","[60.0, 154.5]",131.144
