cell,corners,centroid,auxin
60,"[[21, 83], [21, 87], [24, 87], [24, 83]]","[22.5, 85.0]",861.152
61,"[[26, 83], [26, 89], [34, 89], [34, 83]]","[30.0, 86.0]",166.57
62,"[[36, 83], [36, 89], [45, 89], [45, 83]]","[40.5, 86.0]",140.731
63,"[[47, 83], [47, 89], [52, 89], [52, 83]]","[49.5, 86.0]",77.253
64,"[[54, 83], [54, 89], [57, 89], [57, 83]]","[55.5, 86.0]",411.386
65,"[[59, 83], [59, 89], [61, 89], [61, 83]]","[60.0, 86.0]",387.722
66,"[[63, 83], [63, 89], [65, 89], [65, 83]]","[64.0, 86.0]",311.553
67,"[[67, 83], [67, 89], [69, 89], [69, 83]]","[68.0, 86.0]",305.801
68,"[[71, 83], [71, 89], [73, 89], [73, 83]]","[72.0, 86.0]",305.801
69,"[[75, 83], [75, 89], [77, 89], [77, 83]]","[76.0, 86.0]",311.553
70,"[[79, 83], [79, 89], [81, 89], [81, 83]]","[80.0, 86.0]",387.722
71,"[[83, 83], [83, 89], [86, 89], [86, 83]]","[84.5, 86.0]",411.386
72,"[[88, 83], [88, 89], [93, 89], [93, 83]]","[90.5, 86.0]",77.253
73,"[[95, 83], [95, 89], [104, 89], [104, 83]]","[99.5, 86.0]",140.731
74,"[[106, 83], [106, 89], [114, 89], [114, 83]]","[110.0, 86.0]",166.57
75,"[[116, 83], [116, 87], [119, 87], [119, 83]]","[117.5, 85.0]",861.152
76,"[[21, 89], [21, 93], [24, 93], [24, 89]]","[22.5, 91.0]",836.337
77,"[[116, 89], [116, 93], [119, 93], [119, 89]]","[117.5, 91.0]",836.337
78,"[[26, 91], [26, 98], [34, 98], [34, 91]]","[30.0, 94.5]",167.017
79,"[[36, 91], [36, 98], [45, 98], [45, 91]]","[40.5, 94.5]",137.352
80,"[[47, 91], [47, 98], [52, 98], [52, 91]]","[49.5, 94.5]",56.4085
81,"[[54, 91], [54, 98], [57, 98], [57, 91]]","[55.5, 94.5]",319.694
82,"[[59, 91], [59, 98], [61, 98], [61, 91]]","[60.0, 94.5]",305.797
83,"[[63, 91], [63, 98], [65, 98], [65, 91]]","[64.0, 94.5]",251.146
84,"[[67, 91], [67, 98], [69, 98], [69, 91]]","[68.0, 94.5]",227.085
85,"[[71, 91], [71, 98], [73, 98], [73, 91]]","[72.0, 94.5]",227.085
86,"[[75, 91], [75, 98], [77, 98], [77, 91]]","[76.0, 94.5]",251.146
87,"[[79, 91], [79, 98], [81, 98], [81, 91]]","[80.0, 94.5]",305.797
88,"[[83, 91], [83, 98], [86, 98], [86, 91]]","[84.5, 94.5]",319.694
89,"[[88, 91], [88, 98], [93, 98], [93, 91]]","[90.5, 94.5]",56.4085
90,"[[95, 91], [95, 98], [104, 98], [104, 91]]","[99.5, 94.5]",137.352
91,"[[106, 91], [106, 98], [114, 98], [114, 91]]","[110.0, 94.5]",167.017
92,"[[21, 95], [21, 99], [24, 99], [24, 95]]","[22.5, 97.0]",799.769
93,"[[116, 95], [116, 99], [119, 99], [119, 95]]","[117.5, 97.0]",799.769
94,"[[26, 100], [26, 103], [34, 103], [34, 100]]","[30.0, 101.5]",169.399
95,"[[36, 100], [36, 103], [45, 103], [45, 100]]","[40.5, 101.5]",126.788
96,"[[47, 100], [47, 103], [52, 103], [52, 100]]","[49.5, 101.5]",58.6723
97,"[[54, 100], [54, 103], [57, 103], [57, 100]]","[55.5, 101.5]",282.543
98,"[[59, 100], [59, 103], [61, 103], [61, 100]]","[60.0, 101.5]",258.612
99,"[[63, 100], [63, 103], [65, 103], [65, 100]]","[64.0, 101.5]",220.42
100,"[[67, 100], [67, 103], [69, 103], [69, 100]]","[68.0, 101.5]",200.81
101,"[[71, 100], [71, 103], [73, 103], [73, 100]]","[72.0, 101.5]",200.81
102,"[[75, 100], [75, 103], [77, 103], [77, 100]]","[76.0, 101.5]",220.42
103,"[[79, 100], [79, 103], [81, 103], [81, 100]]","[80.0, 101.5]",258.612
104,"[[83, 100], [83, 103], [86, 103], [86, 100]]","[84.5, 101.5]",282.543
105,"[[88, 100], [88, 103], [93, 103], [93, 100]]","[90.5, 101.5]",58.6723
106,"[[95, 100], [95, 103], [104, 103], [104, 100]]","[99.5, 101.5]",126.788
107,"[[106, 100], [106, 103], [114, 103], [114, 100]]","[110.0, 101.5]",169.399
108,"[[21, 101], [21, 105], [24, 105], [24, 101]]","[22.5, 103.0]",747.158
109,"[[116, 101], [116, 105], [119, 105], [119, 101]]","[117.5, 103.0]",747.158
110,"[[26, 105], [26, 109], [34, 109], [34, 105]]","[30.0, 107.0]",175.551
111,"[[36, 105], [36, 109], [45, 109], [45, 105]]","[40.5, 107.0]",131.439
112,"[[47, 105], [47, 109], [52, 109], [52, 105]]","[49.5, 107.0]",61.4286
113,"[[54, 105], [54, 109], [57, 109], [57, 105]]","[55.5, 107.0]",234.105
114,"[[59, 105], [59, 109], [61, 109], [61, 105]]","[60.0, 107.0]",217.834
115,"[[63, 105], [63, 109], [65, 109], [65, 105]]","[64.0, 107.0]",184.389
116,"[[67, 105], [67, 109], [69, 109], [69, 105]]","[68.0, 107.0]",167.789
117,"[[71, 105], [71, 109], [73, 109], [73, 105]]","[72.0, 107.0]",167.789
118,"[[75, 105], [75, 109], [77, 109], [77, 105]]","[76.0, 107.0]",184.389
119,"[[79, 105], [79, 109], [81, 109], [81, 105]]","[80.0, 107.0]",217.834
120,"[[83, 105], [83, 109], [86, 109], [86, 105]]","[84.5, 107.0]",234.105
121,"[[88, 105], [88, 109], [93, 109], [93, 105]]","[90.5, 107.0]",61.4286
122,"[[95, 105], [95, 109], [104, 109], [104, 105]]","[99.5, 107.0]",131.439
123,"[[106, 105], [106, 109], [114, 109], [114, 105]]","[110.0, 107.0]",175.551
124,"[[21, 107], [21, 111], [24, 111], [24, 107]]","[22.5, 109.0]",710.324
125,"[[116, 107], [116, 111], [119, 111], [119, 107]]","[117.5, 109.0]",710.324
126,"[[26, 111], [26, 116], [34, 116], [34, 111]]","[30.0, 113.5]",181.594
127,"[[36, 111], [36, 116], [45, 116], [45, 111]]","[40.5, 113.5]",134.446
128,"[[47, 111], [47, 116], [52, 116], [52, 111]]","[49.5, 113.5]",62.0834
129,"[[54, 111], [54, 116], [57, 116], [57, 111]]","[55.5, 113.5]",251.913
130,"[[59, 111], [59, 116], [61, 116], [61, 111]]","[60.0, 113.5]",238.338
131,"[[63, 111], [63, 116], [65, 116], [65, 111]]","[64.0, 113.5]",200.305
132,"[[67, 111], [67, 116], [69, 116], [69, 111]]","[68.0, 113.5]",182.266
133,"[[71, 111], [71, 116], [73, 116], [73, 111]]","[72.0, 113.5]",182.266
134,"[[75, 111], [75, 116], [77, 116], [77, 111]]","[76.0, 113.5]",200.305
135,"[[79, 111], [79, 116], [81, 116], [81, 111]]","[80.0, 113.5]",238.338
136,"[[83, 111], [83, 116], [86, 116], [86, 111]]","[84.5, 113.5]",251.913
137,"[[88, 111], [88, 116], [93, 116], [93, 111]]","[90.5, 113.5]",62.0834
138,"[[95, 111], [95, 116], [104, 116], [104, 111]]","[99.5, 113.5]",134.446
139,"[[106, 111], [106, 116], [114, 116], [114, 111]]","[110.0, 113.5]",181.594
140,"[[21, 113], [21, 117], [24, 117], [24, 113]]","[22.5, 115.0]",681.214
141,"[[116, 113], [116, 117], [119, 117], [119, 113]]","[117.5, 115.0]",681.214
142,"[[26, 118], [26, 123], [34, 123], [34, 118]]","[30.0, 120.5]",182.064
143,"[[36, 118], [36, 123], [45, 123], [45, 118]]","[40.5, 120.5]",132.752
144,"[[47, 118], [47, 123], [52, 123], [52, 118]]","[49.5, 120.5]",61.1779
145,"[[54, 118], [54, 123], [57, 123], [57, 118]]","[55.5, 120.5]",246.698
146,"[[59, 118], [59, 123], [61, 123], [61, 118]]","[60.0, 120.5]",233.044
147,"[[63, 118], [63, 123], [65, 123], [65, 118]]","[64.0, 120.5]",196.865
148,"[[67, 118], [67, 123], [69, 123], [69, 118]]","[68.0, 120.5]",180.094
149,"[[71, 118], [71, 123], [73, 123], [73, 118]]","[72.0, 120.5]",180.094
150,"[[75, 118], [75, 123], [77, 123], [77, 118]]","[76.0, 120.5]",196.865
151,"[[79, 118], [79, 123], [81, 123], [81, 118]]","[80.0, 120.5]",233.044
152,"[[83, 118], [83, 123], [86, 123], [86, 118]]","[84.5, 120.5]",246.698
153,"[[88, 118], [88, 123], [93, 123], [93, 118]]","[90.5, 120.5]",61.1779
154,"[[95, 118], [95, 123], [104, 123], [104, 118]]","[99.5, 120.5]",132.752
155,"[[106, 118], [106, 123], [114, 123], [114, 118]]","[110.0, 120.5]",182.064
156,"[[21, 119], [21, 123], [24, 123], [24, 119]]","[22.5, 121.0]",652.315
157,"[[116, 119], [116, 123], [119, 123], [119, 119]]","[117.5, 121.0]",652.315
158,"[[21, 125], [21, 129], [24, 129], [24, 125]]","[22.5, 127.0]",614.261
160,"[[26, 125], [26, 130], [34, 130], [34, 125]]","[30.0, 127.5]",171.546
161,"[[36, 125], [36, 130], [45, 130], [45, 125]]","[40.5, 127.5]",129.578
162,"[[47, 125], [47, 130], [52, 130], [52, 125]]","[49.5, 127.5]",60.9269
163,"[[54, 125], [54, 130], [57, 130], [57, 125]]","[55.5, 127.5]",232.809
164,"[[59, 125], [59, 130], [61, 130], [61, 125]]","[60.0, 127.5]",218.815
165,"[[63, 125], [63, 130], [65, 130], [65, 125]]","[64.0, 127.5]",186.294
166,"[[67, 125], [67, 130], [69, 130], [69, 125]]","[68.0, 127.5]",171.461
167,"[[71, 125], [71, 130], [73, 130], [73, 125]]","[72.0, 127.5]",171.461
168,"[[75, 125], [75, 130], [77, 130], [77, 125]]","[76.0, 127.5]",186.294
169,"[[79, 125], [79, 130], [81, 130], [81, 125]]","[80.0, 127.5]",218.815
170,"[[83, 125], [83, 130], [86, 130], [86, 125]]","[84.5, 127.5]",232.809
171,"[[88, 125], [88, 130], [93, 130], [93, 125]]","[90.5, 127.5]",60.9269
172,"[[95, 125], [95, 130], [104, 130], [104, 125]]","[99.5, 127.5]",129.578
173,"[[106, 125], [106, 130], [114, 130], [114, 125]]","[110.0, 127.5]",171.546
159,"[[116, 125], [116, 129], [119, 129], [119, 125]]","[117.5, 127.0]",614.261
174,"[[21, 131], [21, 134], [24, 134], [24, 131]]","[22.5, 132.5]",588.807
175,"[[116, 131], [116, 134], [119, 134], [119, 131]]","[117.5, 132.5]",588.807
176,"[[26, 132], [26, 137], [34, 137], [34, 132]]","[30.0, 134.5]",173.936
177,"[[36, 132], [36, 137], [45, 137], [45, 132]]","[40.5, 134.5]",126.84
178,"[[47, 132], [47, 137], [52, 137], [52, 132]]","[49.5, 134.5]",63.347
179,"[[54, 132], [54, 137], [57, 137], [57, 132]]","[55.5, 134.5]",190.753
180,"[[59, 132], [59, 137], [61, 137], [61, 132]]","[60.0, 134.5]",181.232
181,"[[63, 132], [63, 137], [65, 137], [65, 132]]","[64.0, 134.5]",157.143
182,"[[67, 132], [67, 137], [69, 137], [69, 132]]","[68.0, 134.5]",145.729
183,"[[71, 132], [71, 137], [73, 137], [73, 132]]","[72.0, 134.5]",145.729
184,"[[75, 132], [75, 137], [77, 137], [77, 132]]","[76.0, 134.5]",157.143
185,"[[79, 132], [79, 137], [81, 137], [81, 132]]","[80.0, 134.5]",181.232
186,"[[83, 132], [83, 137], [86, 137], [86, 132]]","[84.5, 134.5]",190.753
187,"[[88, 132], [88, 137], [93, 137], [93, 132]]","[90.5, 134.5]",63.347
188,"[[95, 132], [95, 137], [104, 137], [104, 132]]","[99.5, 134.5]",126.84
189,"[[106, 132], [106, 137], [114, 137], [114, 132]]","[110.0, 134.5]",173.936
190,"[[21, 136], [21, 139], [24, 139], [24, 136]]","[22.5, 137.5]",569.254
191,"[[116, 136], [116, 139], [119, 139], [119, 136]]","[117.5, 137.5]",569.254
192,"[[26, 139], [26, 142], [34, 142], [34, 139]]","[30.0, 140.5]",161.531
193,"[[36, 139], [36, 142], [45, 142], [45, 139]]","[40.5, 140.5]",116.943
194,"[[47, 139], [47, 142], [52, 142], [52, 139]]","[49.5, 140.5]",63.2509
195,"[[54, 139], [54, 142], [57, 142], [57, 139]]","[55.5, 140.5]",189.448
196,"[[59, 139], [59, 142], [61, 142], [61, 139]]","[60.0, 140.5]",182.239
197,"[[63, 139], [63, 142], [65, 142], [65, 139]]","[64.0, 140.5]",160.825
198,"[[67, 139], [67, 142], [69, 142], [69, 139]]","[68.0, 140.5]",149.036
199,"[[71, 139], [71, 142], [73, 142], [73, 139]]","[72.0, 140.5]",149.036
200,"[[75, 139], [75, 142], [77, 142], [77, 139]]","[76.0, 140.5]",160.825
201,"[[79, 139], [79, 142], [81, 142], [81, 139]]","[80.0, 140.5]",182.239
202,"[[83, 139], [83, 142], [86, 142], [86, 139]]","[84.5, 140.5]",189.448
203,"[[88, 139], [88, 142], [93, 142], [93, 139]]","[90.5, 140.5]",63.2509
204,"[[95, 139], [95, 142], [104, 142], [104, 139]]","[99.5, 140.5]",116.943
205,"[[106, 139], [106, 142], [114, 142], [114, 139]]","[110.0, 140.5]",161.531
206,"[[21, 141], [21, 144], [24, 144], [24, 141]]","[22.5, 142.5]",549.108
207,"[[116, 141], [116, 144], [119, 144], [119, 141]]","[117.5, 142.5]",549.108
208,"[[26, 144], [26, 147], [34, 147], [34, 144]]","[30.0, 145.5]",156.478
209,"[[36, 144], [36, 147], [45, 147], [45, 144]]","[40.5, 145.5]",114.628
210,"[[47, 144], [47, 147], [52, 147], [52, 144]]","[49.5, 145.5]",59.9813
211,"[[54, 144], [54, 147], [57, 147], [57, 144]]","[55.5, 145.5]",186.861
212,"[[59, 144], [59, 147], [61, 147], [61, 144]]","[60.0, 145.5]",182.927
213,"[[63, 144], [63, 147], [65, 147], [65, 144]]","[64.0, 145.5]",160.218
214,"[[67, 144], [67, 147], [69, 147], [69, 144]]","[68.0, 145.5]",147.596
215,"[[71, 144], [71, 147], [73, 147], [73, 144]]","[72.0, 145.5]",147.596
216,"[[75, 144], [75, 147], [77, 147], [77, 144]]","[76.0, 145.5]",160.218
217,"[[79, 144], [79, 147], [81, 147], [81, 144]]","[80.0, 145.5]",182.927
218,"[[83, 144], [83, 147], [86, 147], [86, 144]]","[84.5, 145.5]",186.861
219,"[[88, 144], [88, 147], [93, 147], [93, 144]]","[90.5, 145.5]",59.9813
220,"[[95, 144], [95, 147], [104, 147], [104, 144]]","[99.5, 145.5]",114.628
221,"[[106, 144], [106, 147], [114, 147], [114, 144]]","[110.0, 145.5]",156.478
222,"[[21, 146], [21, 149], [24, 149], [24, 146]]","[22.5, 147.5]",529.753
223,"[[116, 146], [116, 149], [119, 149], [119, 146]]","[117.5, 147.5]",529.753
224,"[[26, 149], [26, 156], [34, 156], [34, 149]]","[30.0, 152.5]",176.515
225,"[[36, 149], [36, 156], [45, 156], [45, 149]]","[40.5, 152.5]",123.406
226,"[[47, 149], [47, 156], [52, 156], [52, 149]]","[49.5, 152.5]",55.1098
227,"[[54, 149], [54, 156], [57, 156], [57, 149]]","[55.5, 152.5]",202.435
