cell,corners,centroid,auxin
60,"[[21, 83], [21, 88], [24, 88], [24, 83]]","[22.5, 85.5]",800.519
61,"[[26, 83], [26, 88], [34, 88], [34, 83]]","[30.0, 85.5]",181.545
62,"[[36, 83], [36, 88], [45, 88], [45, 83]]","[40.5, 85.5]",141.057
63,"[[47, 83], [47, 88], [52, 88], [52, 83]]","[49.5, 85.5]",79.6374
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",396.816
65,"[[59, 83], [59, 88], [61, 88], [61, 83]]","[60.0, 85.5]",370.42
66,"[[63, 83], [63, 88], [65, 88], [65, 83]]","[64.0, 85.5]",300.336
67,"[[67, 83], [67, 88], [69, 88], [69, 83]]","[68.0, 85.5]",296.186
68,"[[71, 83], [71, 88], [73, 88], [73, 83]]","[72.0, 85.5]",296.186
69,"[[75, 83], [75, 88], [77, 88], [77, 83]]","[76.0, 85.5]",300.336
70,"[[79, 83], [79, 88], [81, 88], [81, 83]]","[80.0, 85.5]",370.42
71,"[[83, 83], [83, 88], [86, 88], [86, 83]]","[84.5, 85.5]",396.816
72,"[[88, 83], [88, 88], [93, 88], [93, 83]]","[90.5, 85.5]",79.6374
73,"[[95, 83], [95, 88], [104, 88], [104, 83]]","[99.5, 85.5]",141.057
74,"[[106, 83], [106, 88], [114, 88], [114, 83]]","[110.0, 85.5]",181.545
75,"[[116, 83], [116, 88], [119, 88], [119, 83]]","[117.5, 85.5]",800.519
76,"[[21, 90], [21, 95], [24, 95], [24, 90]]","[22.5, 92.5]",734.549
77,"[[26, 90], [26, 96], [34, 96], [34, 90]]","[30.0, 93.0]",183.58
78,"[[36, 90], [36, 96], [45, 96], [45, 90]]","[40.5, 93.0]",136.353
79,"[[47, 90], [47, 96], [52, 96], [52, 90]]","[49.5, 93.0]",55.3522
80,"[[54, 90], [54, 96], [57, 96], [57, 90]]","[55.5, 93.0]",301.707
81,"[[59, 90], [59, 96], [61, 96], [61, 90]]","[60.0, 93.0]",293.548
82,"[[63, 90], [63, 96], [65, 96], [65, 90]]","[64.0, 93.0]",241.871
83,"[[67, 90], [67, 96], [69, 96], [69, 90]]","[68.0, 93.0]",217.107
84,"[[71, 90], [71, 96], [73, 96], [73, 90]]","[72.0, 93.0]",217.107
85,"[[75, 90], [75, 96], [77, 96], [77, 90]]","[76.0, 93.0]",241.871
86,"[[79, 90], [79, 96], [81, 96], [81, 90]]","[80.0, 93.0]",293.548
87,"[[83, 90], [83, 96], [86, 96], [86, 90]]","[84.5, 93.0]",301.707
88,"[[88, 90], [88, 96], [93, 96], [93, 90]]","[90.5, 93.0]",55.3522
89,"[[95, 90], [95, 96], [104, 96], [104, 90]]","[99.5, 93.0]",136.353
90,"[[106, 90], [106, 96], [114, 96], [114, 90]]","[110.0, 93.0]",183.58
91,"[[116, 90], [116, 95], [119, 95], [119, 90]]","[117.5, 92.5]",734.549
92,"[[21, 97], [21, 101], [24, 101], [24, 97]]","[22.5, 99.0]",734.183
93,"[[116, 97], [116, 101], [119, 101], [119, 97]]","[117.5, 99.0]",734.183
94,"[[26, 98], [26, 105], [34, 105], [34, 98]]","[30.0, 101.5]",183.796
95,"[[36, 98], [36, 105], [45, 105], [45, 98]]","[40.5, 101.5]",137.42
96,"[[47, 98], [47, 105], [52, 105], [52, 98]]","[49.5, 101.5]",54.6037
97,"[[54, 98], [54, 105], [57, 105], [57, 98]]","[55.5, 101.5]",294.939
98,"[[59, 98], [59, 105], [61, 105], [61, 98]]","[60.0, 101.5]",287.123
99,"[[63, 98], [63, 105], [65, 105], [65, 98]]","[64.0, 101.5]",235.533
100,"[[67, 98], [67, 105], [69, 105], [69, 98]]","[68.0, 101.5]",212.081
101,"[[71, 98], [71, 105], [73, 105], [73, 98]]","[72.0, 101.5]",212.081
102,"[[75, 98], [75, 105], [77, 105], [77, 98]]","[76.0, 101.5]",235.533
103,"[[79, 98], [79, 105], [81, 105], [81, 98]]","[80.0, 101.5]",287.123
104,"[[83, 98], [83, 105], [86, 105], [86, 98]]","[84.5, 101.5]",294.939
105,"[[88, 98], [88, 105], [93, 105], [93, 98]]","[90.5, 101.5]",54.6037
106,"[[95, 98], [95, 105], [104, 105], [104, 98]]","[99.5, 101.5]",137.42
107,"[[106, 98], [106, 105], [114, 105], [114, 98]]","[110.0, 101.5]",183.796
108,"[[21, 103], [21, 107], [24, 107], [24, 103]]","[22.5, 105.0]",711.034
109,"[[116, 103], [116, 107], [119, 107], [119, 103]]","[117.5, 105.0]",711.034
110,"[[26, 107], [26, 113], [34, 113], [34, 107]]","[30.0, 110.0]",181.184
111,"[[36, 107], [36, 113], [45, 113], [45, 107]]","[40.5, 110.0]",131.3
112,"[[47, 107], [47, 113], [52, 113], [52, 107]]","[49.5, 110.0]",57.5835
113,"[[54, 107], [54, 113], [57, 113], [57, 107]]","[55.5, 110.0]",237.705
114,"[[59, 107], [59, 113], [61, 113], [61, 107]]","[60.0, 110.0]",228.098
115,"[[63, 107], [63, 113], [65, 113], [65, 107]]","[64.0, 110.0]",189.526
116,"[[67, 107], [67, 113], [69, 113], [69, 107]]","[68.0, 110.0]",171.859
117,"[[71, 107], [71, 113], [73, 113], [73, 107]]","[72.0, 110.0]",171.859
118,"[[75, 107], [75, 113], [77, 113], [77, 107]]","[76.0, 110.0]",189.526
119,"[[79, 107], [79, 113], [81, 113], [81, 107]]","[80.0, 110.0]",228.098
120,"[[83, 107], [83, 113], [86, 113], [86, 107]]","[84.5, 110.0]",237.705
121,"[[88, 107], [88, 113], [93, 113], [93, 107]]","[90.5, 110.0]",57.5835
122,"[[95, 107], [95, 113], [104, 113], [104, 107]]","[99.5, 110.0]",131.3
123,"[[106, 107], [106, 113], [114, 113], [114, 107]]","[110.0, 110.0]",181.184
124,"[[21, 109], [21, 113], [24, 113], [24, 109]]","[22.5, 111.0]",685.663
125,"[[116, 109], [116, 113], [119, 113], [119, 109]]","[117.5, 111.0]",685.663
126,"[[21, 115], [21, 119], [24, 119], [24, 115]]","[22.5, 117.0]",655.611
128,"[[26, 115], [26, 121], [34, 121], [34, 115]]","[30.0, 118.0]",172.168
129,"[[36, 115], [36, 121], [45, 121], [45, 115]]","[40.5, 118.0]",128.469
130,"[[47, 115], [47, 121], [52, 121], [52, 115]]","[49.5, 118.0]",59.1398
131,"[[54, 115], [54, 121], [57, 121], [57, 115]]","[55.5, 118.0]",252.467
132,"[[59, 115], [59, 121], [61, 121], [61, 115]]","[60.0, 118.0]",241.402
133,"[[63, 115], [63, 121], [65, 121], [65, 115]]","[64.0, 118.0]",202.93
134,"[[67, 115], [67, 121], [69, 121], [69, 115]]","[68.0, 118.0]",185.781
135,"[[71, 115], [71, 121], [73, 121], [73, 115]]","[72.0, 118.0]",185.781
136,"[[75, 115], [75, 121], [77, 121], [77, 115]]","[76.0, 118.0]",202.93
137,"[[79, 115], [79, 121], [81, 121], [81, 115]]","[80.0, 118.0]",241.402
138,"[[83, 115], [83, 121], [86, 121], [86, 115]]","[84.5, 118.0]",252.467
