cell,corners,centroid,auxin
60,"[[21, 83], [21, 87], [24, 87], [24, 83]]","[22.5, 85.0]",804.97
61,"[[26, 83], [26, 87], [34, 87], [34, 83]]","[30.0, 85.0]",155.592
62,"[[36, 83], [36, 87], [45, 87], [45, 83]]","[40.5, 85.0]",127.813
63,"[[47, 83], [47, 87], [52, 87], [52, 83]]","[49.5, 85.0]",79.7187
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",365.85
65,"[[59, 83], [59, 87], [61, 87], [61, 83]]","[60.0, 85.0]",330.424
66,"[[63, 83], [63, 87], [65, 87], [65, 83]]","[64.0, 85.0]",269.146
67,"[[67, 83], [67, 87], [69, 87], [69, 83]]","[68.0, 85.0]",268.182
68,"[[71, 83], [71, 87], [73, 87], [73, 83]]","[72.0, 85.0]",268.182
69,"[[75, 83], [75, 87], [77, 87], [77, 83]]","[76.0, 85.0]",269.146
70,"[[79, 83], [79, 87], [81, 87], [81, 83]]","[80.0, 85.0]",330.424
71,"[[83, 83], [83, 87], [86, 87], [86, 83]]","[84.5, 85.0]",365.85
72,"[[88, 83], [88, 87], [93, 87], [93, 83]]","[90.5, 85.0]",79.7187
73,"[[95, 83], [95, 87], [104, 87], [104, 83]]","[99.5, 85.0]",127.813
74,"[[106, 83], [106, 87], [114, 87], [114, 83]]","[110.0, 85.0]",155.592
75,"[[116, 83], [116, 87], [119, 87], [119, 83]]","[117.5, 85.0]",804.97
76,"[[21, 89], [21, 93], [24, 93], [24, 89]]","[22.5, 91.0]",768.931
77,"[[26, 89], [26, 93], [34, 93], [34, 89]]","[30.0, 91.0]",159.181
78,"[[36, 89], [36, 93], [45, 93], [45, 89]]","[40.5, 91.0]",123.702
79,"[[47, 89], [47, 93], [52, 93], [52, 89]]","[49.5, 91.0]",56.4313
80,"[[54, 89], [54, 93], [57, 93], [57, 89]]","[55.5, 91.0]",288.786
81,"[[59, 89], [59, 93], [61, 93], [61, 89]]","[60.0, 91.0]",268.144
82,"[[63, 89], [63, 93], [65, 93], [65, 89]]","[64.0, 91.0]",224.642
83,"[[67, 89], [67, 93], [69, 93], [69, 89]]","[68.0, 91.0]",203.096
84,"[[71, 89], [71, 93], [73, 93], [73, 89]]","[72.0, 91.0]",203.096
85,"[[75, 89], [75, 93], [77, 93], [77, 89]]","[76.0, 91.0]",224.642
86,"[[79, 89], [79, 93], [81, 93], [81, 89]]","[80.0, 91.0]",268.144
87,"[[83, 89], [83, 93], [86, 93], [86, 89]]","[84.5, 91.0]",288.786
88,"[[88, 89], [88, 93], [93, 93], [93, 89]]","[90.5, 91.0]",56.4313
89,"[[95, 89], [95, 93], [104, 93], [104, 89]]","[99.5, 91.0]",123.702
90,"[[106, 89], [106, 93], [114, 93], [114, 89]]","[110.0, 91.0]",159.181
91,"[[116, 89], [116, 93], [119, 93], [119, 89]]","[117.5, 91.0]",768.931
92,"[[21, 95], [21, 99], [24, 99], [24, 95]]","[22.5, 97.0]",718.364
93,"[[26, 95], [26, 99], [34, 99], [34, 95]]","[30.0, 97.0]",171.281
94,"[[36, 95], [36, 99], [45, 99], [45, 95]]","[40.5, 97.0]",124.665
95,"[[47, 95], [47, 99], [52, 99], [52, 95]]","[49.5, 97.0]",54.9616
96,"[[54, 95], [54, 99], [57, 99], [57, 95]]","[55.5, 97.0]",275.231
97,"[[59, 95], [59, 99], [61, 99], [61, 95]]","[60.0, 97.0]",256.034
98,"[[63, 95], [63, 99], [65, 99], [65, 95]]","[64.0, 97.0]",214.031
99,"[[67, 95], [67, 99], [69, 99], [69, 95]]","[68.0, 97.0]",193.029
100,"[[71, 95], [71, 99], [73, 99], [73, 95]]","[72.0, 97.0]",193.029
101,"[[75, 95], [75, 99], [77, 99], [77, 95]]","[76.0, 97.0]",214.031
102,"[[79, 95], [79, 99], [81, 99], [81, 95]]","[80.0, 97.0]",256.034
103,"[[83, 95], [83, 99], [86, 99], [86, 95]]","[84.5, 97.0]",275.231
104,"[[88, 95], [88, 99], [93, 99], [93, 95]]","[90.5, 97.0]",54.9616
105,"[[95, 95], [95, 99], [104, 99], [104, 95]]","[99.5, 97.0]",124.665
106,"[[106, 95], [106, 99], [114, 99], [114, 95]]","[110.0, 97.0]",171.281
107,"[[116, 95], [116, 99], [119, 99], [119, 95]]","[117.5, 97.0]",718.364
108,"[[21, 101], [21, 105], [24, 105], [24, 101]]","[22.5, 103.0]",676.875
109,"[[26, 101], [26, 107], [34, 107], [34, 101]]","[30.0, 104.0]",176.017
110,"[[36, 101], [36, 107], [45, 107], [45, 101]]","[40.5, 104.0]",128.869
111,"[[47, 101], [47, 107], [52, 107], [52, 101]]","[49.5, 104.0]",56.9895
112,"[[54, 101], [54, 107], [57, 107], [57, 101]]","[55.5, 104.0]",237.131
113,"[[59, 101], [59, 107], [61, 107], [61, 101]]","[60.0, 104.0]",223.147
114,"[[63, 101], [63, 107], [65, 107], [65, 101]]","[64.0, 104.0]",185.09
115,"[[67, 101], [67, 107], [69, 107], [69, 101]]","[68.0, 104.0]",167.825
116,"[[71, 101], [71, 107], [73, 107], [73, 101]]","[72.0, 104.0]",167.825
117,"[[75, 101], [75, 107], [77, 107], [77, 101]]","[76.0, 104.0]",185.09
118,"[[79, 101], [79, 107], [81, 107], [81, 101]]","[80.0, 104.0]",223.147
119,"[[83, 101], [83, 107], [86, 107], [86, 101]]","[84.5, 104.0]",237.131
120,"[[88, 101], [88, 107], [93, 107], [93, 101]]","[90.5, 104.0]",56.9895
121,"[[95, 101], [95, 107], [104, 107], [104, 101]]","[99.5, 104.0]",128.869
122,"[[106, 101], [106, 107], [114, 107], [114, 101]]","[110.0, 104.0]",176.017
123,"[[116, 101], [116, 105], [119, 105], [119, 101]]","[117.5, 103.0]",676.875
124,"[[21, 107], [21, 111], [24, 111], [24, 107]]","[22.5, 109.0]",658.473
125,"[[116, 107], [116, 111], [119, 111], [119, 107]]","[117.5, 109.0]",658.473
126,"[[26, 109], [26, 113], [34, 113], [34, 109]]","[30.0, 111.0]",159.955
127,"[[36, 109], [36, 113], [45, 113], [45, 109]]","[40.5, 111.0]",118.237
128,"[[47, 109], [47, 113], [52, 113], [52, 109]]","[49.5, 111.0]",59.829
129,"[[54, 109], [54, 113], [57, 113], [57, 109]]","[55.5, 111.0]",225.114
130,"[[59, 109], [59, 113], [61, 113], [61, 109]]","[60.0, 111.0]",210.233
131,"[[63, 109], [63, 113], [65, 113], [65, 109]]","[64.0, 111.0]",178.216
132,"[[67, 109], [67, 113], [69, 113], [69, 109]]","[68.0, 111.0]",162.382
133,"[[71, 109], [71, 113], [73, 113], [73, 109]]","[72.0, 111.0]",162.382
134,"[[75, 109], [75, 113], [77, 113], [77, 109]]","[76.0, 111.0]",178.216
135,"[[79, 109], [79, 113], [81, 113], [81, 109]]","[80.0, 111.0]",210.233
136,"[[83, 109], [83, 113], [86, 113], [86, 109]]","[84.5, 111.0]",225.114
137,"[[88, 109], [88, 113], [93, 113], [93, 109]]","[90.5, 111.0]",59.829
138,"[[95, 109], [95, 113], [104, 113], [104, 109]]","[99.5, 111.0]",118.237
139,"[[106, 109], [106, 113], [114, 113], [114, 109]]","[110.0, 111.0]",159.955
140,"[[21, 113], [21, 117], [24, 117], [24, 113]]","[22.5, 115.0]",642.52
141,"[[116, 113], [116, 117], [119, 117], [119, 113]]","[117.5, 115.0]",642.52
142,"[[26, 115], [26, 119], [34, 119], [34, 115]]","[30.0, 117.0]",154.518
143,"[[36, 115], [36, 119], [45, 119], [45, 115]]","[40.5, 117.0]",117.041
144,"[[47, 115], [47, 119], [52, 119], [52, 115]]","[49.5, 117.0]",60.2748
145,"[[54, 115], [54, 119], [57, 119], [57, 115]]","[55.5, 117.0]",229.003
146,"[[59, 115], [59, 119], [61, 119], [61, 115]]","[60.0, 117.0]",212.839
147,"[[63, 115], [63, 119], [65, 119], [65, 115]]","[64.0, 117.0]",181.162
148,"[[67, 115], [67, 119], [69, 119], [69, 115]]","[68.0, 117.0]",165.753
149,"[[71, 115], [71, 119], [73, 119], [73, 115]]","[72.0, 117.0]",165.753
150,"[[75, 115], [75, 119], [77, 119], [77, 115]]","[76.0, 117.0]",181.162
151,"[[79, 115], [79, 119], [81, 119], [81, 115]]","[80.0, 117.0]",212.839
152,"[[83, 115], [83, 119], [86, 119], [86, 115]]","[84.5, 117.0]",229.003
153,"[[88, 115], [88, 119], [93, 119], [93, 115]]","[90.5, 117.0]",60.2748
154,"[[95, 115], [95, 119], [104, 119], [104, 115]]","[99.5, 117.0]",117.041
155,"[[106, 115], [106, 119], [114, 119], [114, 115]]","[110.0, 117.0]",154.518
156,"[[21, 119], [21, 123], [24, 123], [24, 119]]","[22.5, 121.0]",624.455
171,"[[116, 119], [116, 123], [119, 123], [119, 119]]","[117.5, 121.0]",624.455
157,"[[26, 121], [26, 124], [34, 124], [34, 121]]","[30.0, 122.5]",150.233
158,"[[36, 121], [36, 124], [45, 124], [45, 121]]","[40.5, 122.5]",113.599
159,"[[47, 121], [47, 124], [52, 124], [52, 121]]","[49.5, 122.5]",58.8777
160,"[[54, 121], [54, 124], [57, 124], [57, 121]]","[55.5, 122.5]",228.294
161,"[[59, 121], [59, 124], [61, 124], [61, 121]]","[60.0, 122.5]",208.818
162,"[[63, 121], [63, 124], [65, 124], [65, 121]]","[64.0, 122.5]",179.114
163,"[[67, 121], [67, 124], [69, 124], [69, 121]]","[68.0, 122.5]",164.35
164,"[[71, 121], [71, 124], [73, 124], [73, 121]]","[72.0, 122.5]",164.35
165,"[[75, 121], [75, 124], [77, 124], [77, 121]]","[76.0, 122.5]",179.114
166,"[[79, 121], [79, 124], [81, 124], [81, 121]]","[80.0, 122.5]",208.818
167,"[[83, 121], [83, 124], [86, 124], [86, 121]]","[84.5, 122.5]",228.294
168,"[[88, 121], [88, 124], [93, 124], [93, 121]]","[90.5, 122.5]",58.8777
169,"[[95, 121], [95, 124], [104, 124], [104, 121]]","[99.5, 122.5]",113.599
170,"[[106, 121], [106, 124], [114, 124], [114, 121]]","[110.0, 122.5]",150.233
172,"[[21, 125], [21, 129], [24, 129], [24, 125]]","[22.5, 127.0]",593.287
187,"[[116, 125], [116, 129], [119, 129], [119, 125]]","[117.5, 127.0]",593.287
173,"[[26, 126], [26, 129], [34, 129], [34, 126]]","[30.0, 127.5]",147.163
174,"[[36, 126], [36, 129], [45, 129], [45, 126]]","[40.5, 127.5]",112.6
175,"[[47, 126], [47, 129], [52, 129], [52, 126]]","[49.5, 127.5]",58.1549
176,"[[54, 126], [54, 129], [57, 129], [57, 126]]","[55.5, 127.5]",213.989
177,"[[59, 126], [59, 129], [61, 129], [61, 126]]","[60.0, 127.5]",194.06
178,"[[63, 126], [63, 129], [65, 129], [65, 126]]","[64.0, 127.5]",166.725
179,"[[67, 126], [67, 129], [69, 129], [69, 126]]","[68.0, 127.5]",153.403
180,"[[71, 126], [71, 129], [73, 129], [73, 126]]","[72.0, 127.5]",153.403
181,"[[75, 126], [75, 129], [77, 129], [77, 126]]","[76.0, 127.5]",166.725
182,"[[79, 126], [79, 129], [81, 129], [81, 126]]","[80.0, 127.5]",194.06
183,"[[83, 126], [83, 129], [86, 129], [86, 126]]","[84.5, 127.5]",213.989
184,"[[88, 126], [88, 129], [93, 129], [93, 126]]","[90.5, 127.5]",58.1549
185,"[[95, 126], [95, 129], [104, 129], [104, 126]]","[99.5, 127.5]",112.6
186,"[[106, 126], [106, 129], [114, 129], [114, 126]]","[110.0, 127.5]",147.163
188,"[[21, 131], [21, 134], [24, 134], [24, 131]]","[22.5, 132.5]",575.422
189,"[[26, 131], [26, 134], [34, 134], [34, 131]]","[30.0, 132.5]",147.322
190,"[[36, 131], [36, 134], [45, 134], [45, 131]]","[40.5, 132.5]",111.932
191,"[[47, 131], [47, 134], [52, 134], [52, 131]]","[49.5, 132.5]",58.342
192,"[[54, 131], [54, 134], [57, 134], [57, 131]]","[55.5, 132.5]",202.848
193,"[[59, 131], [59, 134], [61, 134], [61, 131]]","[60.0, 132.5]",183.882
194,"[[63, 131], [63, 134], [65, 134], [65, 131]]","[64.0, 132.5]",158.898
195,"[[67, 131], [67, 134], [69, 134], [69, 131]]","[68.0, 132.5]",146.806
196,"[[71, 131], [71, 134], [73, 134], [73, 131]]","[72.0, 132.5]",146.806
197,"[[75, 131], [75, 134], [77, 134], [77, 131]]","[76.0, 132.5]",158.898
198,"[[79, 131], [79, 134], [81, 134], [81, 131]]","[80.0, 132.5]",183.882
199,"[[83, 131], [83, 134], [86, 134], [86, 131]]","[84.5, 132.5]",202.848
200,"[[88, 131], [88, 134], [93, 134], [93, 131]]","[90.5, 132.5]",58.342
201,"[[95, 131], [95, 134], [104, 134], [104, 131]]","[99.5, 132.5]",111.932
202,"[[106, 131], [106, 134], [114, 134], [114, 131]]","[110.0, 132.5]",147.322
203,"[[116, 131], [116, 134], [119, 134], [119, 131]]","[117.5, 132.5]",575.422
204,"[[21, 136], [21, 139], [24, 139], [24, 136]]","[22.5, 137.5]",546.694
205,"[[26, 136], [26, 139], [34, 139], [34, 136]]","[30.0, 137.5]",151.16
206,"[[36, 136], [36, 139], [45, 139], [45, 136]]","[40.5, 137.5]",111.41
207,"[[47, 136], [47, 139], [52, 139], [52, 136]]","[49.5, 137.5]",60.1356
208,"[[54, 136], [54, 139], [57, 139], [57, 136]]","[55.5, 137.5]",166.032
209,"[[59, 136], [59, 139], [61, 139], [61, 136]]","[60.0, 137.5]",153.44
210,"[[63, 136], [63, 139], [65, 139], [65, 136]]","[64.0, 137.5]",134.284
211,"[[67, 136], [67, 139], [69, 139], [69, 136]]","[68.0, 137.5]",124.739
212,"[[71, 136], [71, 139], [73, 139], [73, 136]]","[72.0, 137.5]",124.739
213,"[[75, 136], [75, 139], [77, 139], [77, 136]]","[76.0, 137.5]",134.284
214,"[[79, 136], [79, 139], [81, 139], [81, 136]]","[80.0, 137.5]",153.44
215,"[[83, 136], [83, 139], [86, 139], [86, 136]]","[84.5, 137.5]",166.032
216,"[[88, 136], [88, 139], [93, 139], [93, 136]]","[90.5, 137.5]",60.1356
217,"[[95, 136], [95, 139], [104, 139], [104, 136]]","[99.5, 137.5]",111.41
218,"[[106, 136], [106, 139], [114, 139], [114, 136]]","[110.0, 137.5]",151.16
219,"[[116, 136], [116, 139], [119, 139], [119, 136]]","[117.5, 137.5]",546.694
220,"[[21, 141], [21, 144], [24, 144], [24, 141]]","[22.5, 142.5]",520.841
221,"[[26, 141], [26, 144], [34, 144], [34, 141]]","[30.0, 142.5]",150.208
222,"[[36, 141], [36, 144], [45, 144], [45, 141]]","[40.5, 142.5]",109.389
223,"[[47, 141], [47, 144], [52, 144], [52, 141]]","[49.5, 142.5]",60.4813
224,"[[54, 141], [54, 144], [57, 144], [57, 141]]","[55.5, 142.5]",176.971
225,"[[59, 141], [59, 144], [61, 144], [61, 141]]","[60.0, 142.5]",166.157
226,"[[63, 141], [63, 144], [65, 144], [65, 141]]","[64.0, 142.5]",145.985
227,"[[67, 141], [67, 144], [69, 144], [69, 141]]","[68.0, 142.5]",135.807
228,"[[71, 141], [71, 144], [73, 144], [73, 141]]","[72.0, 142.5]",135.807
229,"[[75, 141], [75, 144], [77, 144], [77, 141]]","[76.0, 142.5]",145.985
230,"[[79, 141], [79, 144], [81, 144], [81, 141]]","[80.0, 142.5]",166.157
231,"[[83, 141], [83, 144], [86, 144], [86, 141]]","[84.5, 142.5]",176.971
232,"[[88, 141], [88, 144], [93, 144], [93, 141]]","[90.5, 142.5]",60.4813
233,"[[95, 141], [95, 144], [104, 144], [104, 141]]","[99.5, 142.5]",109.389
234,"[[106, 141], [106, 144], [114, 144], [114, 141]]","[110.0, 142.5]",150.208
235,"[[116, 141], [116, 144], [119, 144], [119, 141]]","[117.5, 142.5]",520.841
236,"[[21, 146], [21, 149], [24, 149], [24, 146]]","[22.5, 147.5]",503.048
237,"[[26, 146], [26, 149], [34, 149], [34, 146]]","[30.0, 147.5]",147.652
238,"[[36, 146], [36, 149], [45, 149], [45, 146]]","[40.5, 147.5]",106.455
239,"[[47, 146], [47, 149], [52, 149], [52, 146]]","[49.5, 147.5]",58.9089
240,"[[54, 146], [54, 149], [57, 149], [57, 146]]","[55.5, 147.5]",173.045
241,"[[59, 146], [59, 149], [61, 149], [61, 146]]","[60.0, 147.5]",163.442
242,"[[63, 146], [63, 149], [65, 149], [65, 146]]","[64.0, 147.5]",144.16
243,"[[67, 146], [67, 149], [69, 149], [69, 146]]","[68.0, 147.5]",134.335
244,"[[71, 146], [71, 149], [73, 149], [73, 146]]","[72.0, 147.5]",134.335
245,"[[75, 146], [75, 149], [77, 149], [77, 146]]","[76.0, 147.5]",144.16
246,"[[79, 146], [79, 149], [81, 149], [81, 146]]","[80.0, 147.5]",163.442
247,"[[83, 146], [83, 149], [86, 149], [86, 146]]","[84.5, 147.5]",173.045
248,"[[88, 146], [88, 149], [93, 149], [93, 146]]","[90.5, 147.5]",58.9089
249,"[[95, 146], [95, 149], [104, 149], [104, 146]]","[99.5, 147.5]",106.455
250,"[[106, 146], [106, 149], [114, 149], [114, 146]]","[110.0, 147.5]",147.652
251,"[[116, 146], [116, 149], [119, 149], [119, 146]]","[117.5, 147.5]",503.048
252,"[[21, 151], [21, 154], [24, 154], [24, 151]]","[22.5, 152.5]",480.129
253,"[[26, 151], [26, 154], [34, 154], [34, 151]]","[30.0, 152.5]",143.544
254,"[[36, 151], [36, 154], [45, 154], [45, 151]]","[40.5, 152.5]",102.528
255,"[[47, 151], [47, 154], [52, 154], [52, 151]]","[49.5, 152.5]",57.0329
256,"[[54, 151], [54, 154], [57, 154], [57, 151]]","[55.5, 152.5]",164.854
257,"[[59, 151], [59, 154], [61, 154], [61, 151]]","[60.0, 152.5]",156.889
258,"[[63, 151], [63, 154], [65, 154], [65, 151]]","[64.0, 152.5]",138.81
259,"[[67, 151], [67, 154], [69, 154], [69, 151]]","[68.0, 152.5]",129.508
260,"[[71, 151], [71, 154], [73, 154], [73, 151]]","[72.0, 152.5]",129.508
261,"[[75, 151], [75, 154], [77, 154], [77, 151]]","[76.0, 152.5]",138.81
262,"[[79, 151], [79, 154], [81, 154], [81, 151]]","[80.0, 152.5]",156.889
263,"[[83, 151], [83, 154], [86, 154], [86, 151]]","[84.5, 152.5]",164.854
264,"[[88, 151], [88, 154], [93, 154], [93, 151]]","[90.5, 152.5]",57.0329
265,"[[95, 151], [95, 154], [104, 154], [104, 151]]","[99.5, 152.5]",102.528
266,"[[106, 151], [106, 154], [114, 154], [114, 151]]","[110.0, 152.5]",143.544
267,"[[116, 151], [116, 154], [119, 154], [119, 151]]","[117.5, 152.5]",480.129
268,"[[21, 156], [21, 159], [24, 159], [24, 156]]","[22.5, 157.5]",464.066
269,"[[26, 156], [26, 159], [34, 159], [34, 156]]","[30.0, 157.5]",139.376
270,"[[36, 156], [36, 159], [45, 159], [45, 156]]","[40.5, 157.5]",98.7523
271,"[[47, 156], [47, 159], [52, 159], [52, 156]]","[49.5, 157.5]",54.8537
272,"[[54, 156], [54, 159], [57, 159], [57, 156]]","[55.5, 157.5]",160.394
273,"[[59, 156], [59, 159], [61, 159], [61, 156]]","[60.0, 157.5]",154.138
274,"[[63, 156], [63, 159], [65, 159], [65, 156]]","[64.0, 157.5]",136.793
275,"[[67, 156], [67, 159], [69, 159], [69, 156]]","[68.0, 157.5]",127.546
276,"[[71, 156], [71, 159], [73, 159], [73, 156]]","[72.0, 157.5]",127.546
277,"[[75, 156], [75, 159], [77, 159], [77, 156]]","[76.0, 157.5]",136.793
278,"[[79, 156], [79, 159], [81, 159], [81, 156]]","[80.0, 157.5]",154.138
279,"[[83, 156], [83, 159], [86, 159], [86, 156]]","[84.5, 157.5]",160.394
280,"[[88, 156], [88, 159], [93, 159], [93, 156]]","[90.5, 157.5]",54.8537
281,"[[95, 156], [95, 159], [104, 159], [104, 156]]","[99.5, 157.5]",98.7523
282,"[[106, 156], [106, 159], [114, 159], [114, 156]]","[110.0, 157.5]",139.376
283,"[[116, 156], [116, 159], [119, 159], [119, 156]]","[117.5, 157.5]",464.066
