cell,corners,centroid,auxin
60,"[[21, 83], [21, 89], [24, 89], [24, 83]]","[22.5, 86.0]",800.329
61,"[[26, 83], [26, 87], [34, 87], [34, 83]]","[30.0, 85.0]",160.17
62,"[[36, 83], [36, 87], [45, 87], [45, 83]]","[40.5, 85.0]",136.59
63,"[[47, 83], [47, 87], [52, 87], [52, 83]]","[49.5, 85.0]",83.3495
64,"[[54, 83], [54, 87], [57, 87], [57, 83]]","[55.5, 85.0]",396.93
65,"[[59, 83], [59, 87], [61, 87], [61, 83]]","[60.0, 85.0]",358.397
66,"[[63, 83], [63, 87], [65, 87], [65, 83]]","[64.0, 85.0]",289.452
67,"[[67, 83], [67, 87], [69, 87], [69, 83]]","[68.0, 85.0]",286.852
68,"[[71, 83], [71, 87], [73, 87], [73, 83]]","[72.0, 85.0]",286.852
69,"[[75, 83], [75, 87], [77, 87], [77, 83]]","[76.0, 85.0]",289.452
70,"[[79, 83], [79, 87], [81, 87], [81, 83]]","[80.0, 85.0]",358.397
71,"[[83, 83], [83, 87], [86, 87], [86, 83]]","[84.5, 85.0]",396.93
72,"[[88, 83], [88, 87], [93, 87], [93, 83]]","[90.5, 85.0]",83.3495
73,"[[95, 83], [95, 87], [104, 87], [104, 83]]","[99.5, 85.0]",136.59
74,"[[106, 83], [106, 87], [114, 87], [114, 83]]","[110.0, 85.0]",160.17
75,"[[116, 83], [116, 89], [119, 89], [119, 83]]","[117.5, 86.0]",800.329
76,"[[26, 89], [26, 94], [34, 94], [34, 89]]","[30.0, 91.5]",169.15
77,"[[36, 89], [36, 94], [45, 94], [45, 89]]","[40.5, 91.5]",134.728
78,"[[47, 89], [47, 94], [52, 94], [52, 89]]","[49.5, 91.5]",59.2406
79,"[[54, 89], [54, 94], [57, 94], [57, 89]]","[55.5, 91.5]",298.105
80,"[[59, 89], [59, 94], [61, 94], [61, 89]]","[60.0, 91.5]",276.982
81,"[[63, 89], [63, 94], [65, 94], [65, 89]]","[64.0, 91.5]",227.701
82,"[[67, 89], [67, 94], [69, 94], [69, 89]]","[68.0, 91.5]",204.363
83,"[[71, 89], [71, 94], [73, 94], [73, 89]]","[72.0, 91.5]",204.363
84,"[[75, 89], [75, 94], [77, 94], [77, 89]]","[76.0, 91.5]",227.701
85,"[[79, 89], [79, 94], [81, 94], [81, 89]]","[80.0, 91.5]",276.982
86,"[[83, 89], [83, 94], [86, 94], [86, 89]]","[84.5, 91.5]",298.105
87,"[[88, 89], [88, 94], [93, 94], [93, 89]]","[90.5, 91.5]",59.2406
88,"[[95, 89], [95, 94], [104, 94], [104, 89]]","[99.5, 91.5]",134.728
89,"[[106, 89], [106, 94], [114, 94], [114, 89]]","[110.0, 91.5]",169.15
90,"[[21, 91], [21, 97], [24, 97], [24, 91]]","[22.5, 94.0]",742.922
91,"[[116, 91], [116, 97], [119, 97], [119, 91]]","[117.5, 94.0]",742.922
92,"[[26, 96], [26, 101], [34, 101], [34, 96]]","[30.0, 98.5]",188.472
93,"[[36, 96], [36, 101], [45, 101], [45, 96]]","[40.5, 98.5]",138.135
94,"[[47, 96], [47, 101], [52, 101], [52, 96]]","[49.5, 98.5]",59.2246
95,"[[54, 96], [54, 101], [57, 101], [57, 96]]","[55.5, 98.5]",297.824
96,"[[59, 96], [59, 101], [61, 101], [61, 96]]","[60.0, 98.5]",273.993
97,"[[63, 96], [63, 101], [65, 101], [65, 96]]","[64.0, 98.5]",226.247
98,"[[67, 96], [67, 101], [69, 101], [69, 96]]","[68.0, 98.5]",203.516
99,"[[71, 96], [71, 101], [73, 101], [73, 96]]","[72.0, 98.5]",203.516
100,"[[75, 96], [75, 101], [77, 101], [77, 96]]","[76.0, 98.5]",226.247
101,"[[79, 96], [79, 101], [81, 101], [81, 96]]","[80.0, 98.5]",273.993
102,"[[83, 96], [83, 101], [86, 101], [86, 96]]","[84.5, 98.5]",297.824
