cell,corners,centroid,auxin
60,"[[21, 83], [21, 87], [24, 87], [24, 83]]","[22.5, 85.0]",843.7
61,"[[26, 83], [26, 86], [34, 86], [34, 83]]","[30.0, 84.5]",159.841
62,"[[36, 83], [36, 86], [45, 86], [45, 83]]","[40.5, 84.5]",130.552
63,"[[47, 83], [47, 86], [52, 86], [52, 83]]","[49.5, 84.5]",86.1251
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",392.194
65,"[[59, 83], [59, 86], [61, 86], [61, 83]]","[60.0, 84.5]",351.811
66,"[[63, 83], [63, 86], [65, 86], [65, 83]]","[64.0, 84.5]",293.316
67,"[[67, 83], [67, 86], [69, 86], [69, 83]]","[68.0, 84.5]",295.822
68,"[[71, 83], [71, 86], [73, 86], [73, 83]]","[72.0, 84.5]",295.822
69,"[[75, 83], [75, 86], [77, 86], [77, 83]]","[76.0, 84.5]",293.316
70,"[[79, 83], [79, 86], [81, 86], [81, 83]]","[80.0, 84.5]",351.811
71,"[[83, 83], [83, 86], [86, 86], [86, 83]]","[84.5, 84.5]",392.194
72,"[[88, 83], [88, 86], [93, 86], [93, 83]]","[90.5, 84.5]",86.1251
73,"[[95, 83], [95, 86], [104, 86], [104, 83]]","[99.5, 84.5]",130.552
74,"[[106, 83], [106, 86], [114, 86], [114, 83]]","[110.0, 84.5]",159.841
75,"[[116, 83], [116, 87], [119, 87], [119, 83]]","[117.5, 85.0]",843.7
76,"[[26, 88], [26, 91], [34, 91], [34, 88]]","[30.0, 89.5]",162.677
77,"[[36, 88], [36, 91], [45, 91], [45, 88]]","[40.5, 89.5]",125.65
78,"[[47, 88], [47, 91], [52, 91], [52, 88]]","[49.5, 89.5]",60.0555
79,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",305.352
80,"[[59, 88], [59, 91], [61, 91], [61, 88]]","[60.0, 89.5]",280.696
81,"[[63, 88], [63, 91], [65, 91], [65, 88]]","[64.0, 89.5]",241.431
82,"[[67, 88], [67, 91], [69, 91], [69, 88]]","[68.0, 89.5]",222.519
83,"[[71, 88], [71, 91], [73, 91], [73, 88]]","[72.0, 89.5]",222.519
84,"[[75, 88], [75, 91], [77, 91], [77, 88]]","[76.0, 89.5]",241.431
85,"[[79, 88], [79, 91], [81, 91], [81, 88]]","[80.0, 89.5]",280.696
86,"[[83, 88], [83, 91], [86, 91], [86, 88]]","[84.5, 89.5]",305.352
87,"[[88, 88], [88, 91], [93, 91], [93, 88]]","[90.5, 89.5]",60.0555
