cell,corners,centroid,auxin
60,"[[21, 83], [21, 87], [24, 87], [24, 83]]","[22.5, 85.0]",846.671
61,"[[26, 83], [26, 88], [34, 88], [34, 83]]","[30.0, 85.5]",167.365
62,"[[36, 83], [36, 88], [45, 88], [45, 83]]","[40.5, 85.5]",138.487
63,"[[47, 83], [47, 88], [52, 88], [52, 83]]","[49.5, 85.5]",80.412
64,"[[54, 83], [54, 88], [57, 88], [57, 83]]","[55.5, 85.5]",390.873
65,"[[59, 83], [59, 88], [61, 88], [61, 83]]","[60.0, 85.5]",359.732
66,"[[63, 83], [63, 88], [65, 88], [65, 83]]","[64.0, 85.5]",289.969
67,"[[67, 83], [67, 88], [69, 88], [69, 83]]","[68.0, 85.5]",285.673
68,"[[71, 83], [71, 88], [73, 88], [73, 83]]","[72.0, 85.5]",285.673
69,"[[75, 83], [75, 88], [77, 88], [77, 83]]","[76.0, 85.5]",289.969
70,"[[79, 83], [79, 88], [81, 88], [81, 83]]","[80.0, 85.5]",359.732
71,"[[83, 83], [83, 88], [86, 88], [86, 83]]","[84.5, 85.5]",390.873
72,"[[88, 83], [88, 88], [93, 88], [93, 83]]","[90.5, 85.5]",80.412
73,"[[95, 83], [95, 88], [104, 88], [104, 83]]","[99.5, 85.5]",138.487
74,"[[106, 83], [106, 88], [114, 88], [114, 83]]","[110.0, 85.5]",167.365
75,"[[116, 83], [116, 87], [119, 87], [119, 83]]","[117.5, 85.0]",846.671
76,"[[21, 89], [21, 93], [24, 93], [24, 89]]","[22.5, 91.0]",813.457
77,"[[116, 89], [116, 93], [119, 93], [119, 89]]","[117.5, 91.0]",813.457
78,"[[26, 90], [26, 95], [34, 95], [34, 90]]","[30.0, 92.5]",165.588
79,"[[36, 90], [36, 95], [45, 95], [45, 90]]","[40.5, 92.5]",134.101
80,"[[47, 90], [47, 95], [52, 95], [52, 90]]","[49.5, 92.5]",56.9302
81,"[[54, 90], [54, 95], [57, 95], [57, 90]]","[55.5, 92.5]",309.225
82,"[[59, 90], [59, 95], [61, 95], [61, 90]]","[60.0, 92.5]",292.088
83,"[[63, 90], [63, 95], [65, 95], [65, 90]]","[64.0, 92.5]",240.661
84,"[[67, 90], [67, 95], [69, 95], [69, 90]]","[68.0, 92.5]",215.949
85,"[[71, 90], [71, 95], [73, 95], [73, 90]]","[72.0, 92.5]",215.949
86,"[[75, 90], [75, 95], [77, 95], [77, 90]]","[76.0, 92.5]",240.661
87,"[[79, 90], [79, 95], [81, 95], [81, 90]]","[80.0, 92.5]",292.088
88,"[[83, 90], [83, 95], [86, 95], [86, 90]]","[84.5, 92.5]",309.225
89,"[[88, 90], [88, 95], [93, 95], [93, 90]]","[90.5, 92.5]",56.9302
90,"[[95, 90], [95, 95], [104, 95], [104, 90]]","[99.5, 92.5]",134.101
91,"[[106, 90], [106, 95], [114, 95], [114, 90]]","[110.0, 92.5]",165.588
92,"[[21, 95], [21, 99], [24, 99], [24, 95]]","[22.5, 97.0]",748.405
93,"[[116, 95], [116, 99], [119, 99], [119, 95]]","[117.5, 97.0]",748.405
94,"[[26, 97], [26, 103], [34, 103], [34, 97]]","[30.0, 100.0]",186.185
95,"[[36, 97], [36, 103], [45, 103], [45, 97]]","[40.5, 100.0]",138.287
96,"[[47, 97], [47, 103], [52, 103], [52, 97]]","[49.5, 100.0]",56.7233
97,"[[54, 97], [54, 103], [57, 103], [57, 97]]","[55.5, 100.0]",291.345
98,"[[59, 97], [59, 103], [61, 103], [61, 97]]","[60.0, 100.0]",274.264
99,"[[63, 97], [63, 103], [65, 103], [65, 97]]","[64.0, 100.0]",225.109
100,"[[67, 97], [67, 103], [69, 103], [69, 97]]","[68.0, 100.0]",202.793
101,"[[71, 97], [71, 103], [73, 103], [73, 97]]","[72.0, 100.0]",202.793
102,"[[75, 97], [75, 103], [77, 103], [77, 97]]","[76.0, 100.0]",225.109
103,"[[79, 97], [79, 103], [81, 103], [81, 97]]","[80.0, 100.0]",274.264
104,"[[83, 97], [83, 103], [86, 103], [86, 97]]","[84.5, 100.0]",291.345
105,"[[88, 97], [88, 103], [93, 103], [93, 97]]","[90.5, 100.0]",56.7233
106,"[[95, 97], [95, 103], [104, 103], [104, 97]]","[99.5, 100.0]",138.287
107,"[[106, 97], [106, 103], [114, 103], [114, 97]]","[110.0, 100.0]",186.185
