cell,corners,centroid,auxin
60,"[[21, 83], [21, 86], [24, 86], [24, 83]]","[22.5, 84.5]",853.166
61,"[[26, 83], [26, 86], [34, 86], [34, 83]]","[30.0, 84.5]",169.797
62,"[[36, 83], [36, 86], [45, 86], [45, 83]]","[40.5, 84.5]",137.063
63,"[[47, 83], [47, 86], [52, 86], [52, 83]]","[49.5, 84.5]",88.9068
64,"[[54, 83], [54, 86], [57, 86], [57, 83]]","[55.5, 84.5]",389.864
65,"[[59, 83], [59, 86], [61, 86], [61, 83]]","[60.0, 84.5]",345.681
66,"[[63, 83], [63, 86], [65, 86], [65, 83]]","[64.0, 84.5]",285.986
67,"[[67, 83], [67, 86], [69, 86], [69, 83]]","[68.0, 84.5]",287.608
68,"[[71, 83], [71, 86], [73, 86], [73, 83]]","[72.0, 84.5]",287.608
69,"[[75, 83], [75, 86], [77, 86], [77, 83]]","[76.0, 84.5]",285.986
70,"[[79, 83], [79, 86], [81, 86], [81, 83]]","[80.0, 84.5]",345.681
71,"[[83, 83], [83, 86], [86, 86], [86, 83]]","[84.5, 84.5]",389.864
72,"[[88, 83], [88, 86], [93, 86], [93, 83]]","[90.5, 84.5]",88.9068
73,"[[95, 83], [95, 86], [104, 86], [104, 83]]","[99.5, 84.5]",137.063
74,"[[106, 83], [106, 86], [114, 86], [114, 83]]","[110.0, 84.5]",169.797
75,"[[116, 83], [116, 86], [119, 86], [119, 83]]","[117.5, 84.5]",853.166
76,"[[21, 88], [21, 91], [24, 91], [24, 88]]","[22.5, 89.5]",811.365
77,"[[26, 88], [26, 91], [34, 91], [34, 88]]","[30.0, 89.5]",175.284
78,"[[36, 88], [36, 91], [45, 91], [45, 88]]","[40.5, 89.5]",133.216
79,"[[47, 88], [47, 91], [52, 91], [52, 88]]","[49.5, 89.5]",62.9908
80,"[[54, 88], [54, 91], [57, 91], [57, 88]]","[55.5, 89.5]",307.002
81,"[[59, 88], [59, 91], [61, 91], [61, 88]]","[60.0, 89.5]",278.145
82,"[[63, 88], [63, 91], [65, 91], [65, 88]]","[64.0, 89.5]",237.412
83,"[[67, 88], [67, 91], [69, 91], [69, 88]]","[68.0, 89.5]",218.889
84,"[[71, 88], [71, 91], [73, 91], [73, 88]]","[72.0, 89.5]",218.889
85,"[[75, 88], [75, 91], [77, 91], [77, 88]]","[76.0, 89.5]",237.412
86,"[[79, 88], [79, 91], [81, 91], [81, 88]]","[80.0, 89.5]",278.145
87,"[[83, 88], [83, 91], [86, 91], [86, 88]]","[84.5, 89.5]",307.002
88,"[[88, 88], [88, 91], [93, 91], [93, 88]]","[90.5, 89.5]",62.9908
89,"[[95, 88], [95, 91], [104, 91], [104, 88]]","[99.5, 89.5]",133.216
90,"[[106, 88], [106, 91], [114, 91], [114, 88]]","[110.0, 89.5]",175.284
91,"[[116, 88], [116, 91], [119, 91], [119, 88]]","[117.5, 89.5]",811.365
92,"[[21, 93], [21, 96], [24, 96], [24, 93]]","[22.5, 94.5]",763.148
93,"[[26, 93], [26, 96], [34, 96], [34, 93]]","[30.0, 94.5]",186.72
94,"[[36, 93], [36, 96], [45, 96], [45, 93]]","[40.5, 94.5]",134.471
95,"[[47, 93], [47, 96], [52, 96], [52, 93]]","[49.5, 94.5]",60.5844
96,"[[54, 93], [54, 96], [57, 96], [57, 93]]","[55.5, 94.5]",298.448
97,"[[59, 93], [59, 96], [61, 96], [61, 93]]","[60.0, 94.5]",269.96
98,"[[63, 93], [63, 96], [65, 96], [65, 93]]","[64.0, 94.5]",229.401
99,"[[67, 93], [67, 96], [69, 96], [69, 93]]","[68.0, 94.5]",208.425
100,"[[71, 93], [71, 96], [73, 96], [73, 93]]","[72.0, 94.5]",208.425
101,"[[75, 93], [75, 96], [77, 96], [77, 93]]","[76.0, 94.5]",229.401
102,"[[79, 93], [79, 96], [81, 96], [81, 93]]","[80.0, 94.5]",269.96
103,"[[83, 93], [83, 96], [86, 96], [86, 93]]","[84.5, 94.5]",298.448
104,"[[88, 93], [88, 96], [93, 96], [93, 93]]","[90.5, 94.5]",60.5844
105,"[[95, 93], [95, 96], [104, 96], [104, 93]]","[99.5, 94.5]",134.471
106,"[[106, 93], [106, 96], [114, 96], [114, 93]]","[110.0, 94.5]",186.72
107,"[[116, 93], [116, 96], [119, 96], [119, 93]]","[117.5, 94.5]",763.148
108,"[[21, 98], [21, 101], [24, 101], [24, 98]]","[22.5, 99.5]",727.886
109,"[[26, 98], [26, 101], [34, 101], [34, 98]]","[30.0, 99.5]",188.362
110,"[[36, 98], [36, 101], [45, 101], [45, 98]]","[40.5, 99.5]",133.995
111,"[[47, 98], [47, 101], [52, 101], [52, 98]]","[49.5, 99.5]",59.2559
112,"[[54, 98], [54, 101], [57, 101], [57, 98]]","[55.5, 99.5]",282.661
113,"[[59, 98], [59, 101], [61, 101], [61, 98]]","[60.0, 99.5]",256.754
114,"[[63, 98], [63, 101], [65, 101], [65, 98]]","[64.0, 99.5]",217.854
115,"[[67, 98], [67, 101], [69, 101], [69, 98]]","[68.0, 99.5]",197.965
116,"[[71, 98], [71, 101], [73, 101], [73, 98]]","[72.0, 99.5]",197.965
117,"[[75, 98], [75, 101], [77, 101], [77, 98]]","[76.0, 99.5]",217.854
118,"[[79, 98], [79, 101], [81, 101], [81, 98]]","[80.0, 99.5]",256.754
119,"[[83, 98], [83, 101], [86, 101], [86, 98]]","[84.5, 99.5]",282.661
120,"[[88, 98], [88, 101], [93, 101], [93, 98]]","[90.5, 99.5]",59.2559
121,"[[95, 98], [95, 101], [104, 101], [104, 98]]","[99.5, 99.5]",133.995
122,"[[106, 98], [106, 101], [114, 101], [114, 98]]","[110.0, 99.5]",188.362
123,"[[116, 98], [116, 101], [119, 101], [119, 98]]","[117.5, 99.5]",727.886
124,"[[21, 103], [21, 106], [24, 106], [24, 103]]","[22.5, 104.5]",693.889
125,"[[26, 103], [26, 107], [34, 107], [34, 103]]","[30.0, 105.0]",189.122
126,"[[36, 103], [36, 107], [45, 107], [45, 103]]","[40.5, 105.0]",135.984
127,"[[47, 103], [47, 107], [52, 107], [52, 103]]","[49.5, 105.0]",59.3491
128,"[[54, 103], [54, 107], [57, 107], [57, 103]]","[55.5, 105.0]",242.841
129,"[[59, 103], [59, 107], [61, 107], [61, 103]]","[60.0, 105.0]",224.822
130,"[[63, 103], [63, 107], [65, 107], [65, 103]]","[64.0, 105.0]",188.811
131,"[[67, 103], [67, 107], [69, 107], [69, 103]]","[68.0, 105.0]",171.24
132,"[[71, 103], [71, 107], [73, 107], [73, 103]]","[72.0, 105.0]",171.24
133,"[[75, 103], [75, 107], [77, 107], [77, 103]]","[76.0, 105.0]",188.811
134,"[[79, 103], [79, 107], [81, 107], [81, 103]]","[80.0, 105.0]",224.822
135,"[[83, 103], [83, 107], [86, 107], [86, 103]]","[84.5, 105.0]",242.841
136,"[[88, 103], [88, 107], [93, 107], [93, 103]]","[90.5, 105.0]",59.3491
137,"[[95, 103], [95, 107], [104, 107], [104, 103]]","[99.5, 105.0]",135.984
138,"[[106, 103], [106, 107], [114, 107], [114, 103]]","[110.0, 105.0]",189.122
139,"[[116, 103], [116, 106], [119, 106], [119, 103]]","[117.5, 104.5]",693.889
140,"[[21, 108], [21, 111], [24, 111], [24, 108]]","[22.5, 109.5]",671.647
141,"[[116, 108], [116, 111], [119, 111], [119, 108]]","[117.5, 109.5]",671.647
142,"[[26, 109], [26, 115], [34, 115], [34, 109]]","[30.0, 112.0]",189.607
143,"[[36, 109], [36, 115], [45, 115], [45, 109]]","[40.5, 112.0]",137.882
144,"[[47, 109], [47, 115], [52, 115], [52, 109]]","[49.5, 112.0]",59.566
145,"[[54, 109], [54, 115], [57, 115], [57, 109]]","[55.5, 112.0]",255.575
146,"[[59, 109], [59, 115], [61, 115], [61, 109]]","[60.0, 112.0]",240.636
147,"[[63, 109], [63, 115], [65, 115], [65, 109]]","[64.0, 112.0]",199.636
